Vacancy Created By,Reason,Vacancy Date,Nominee,Nomination,Circuit,CT,date
"Lagueux, Ronald R.",Senior,2001-11-30,,,RI,First Circuit,2002-05-09
"Platt, Thomas C.",Senior,2001-02-01,,,NY-E,Second Circuit,2002-05-09
"Parker, Barrington D. Jr.",Elevated,2001-10-11,,,NY-S,Second Circuit,2002-05-09
"Greenberg, Morton I.",Senior,2000-06-30,,,CCA,Third Circuit,2002-05-09
"Lewis, Timothy",Resigned,1999-06-30,"Smith, D. Brooks",2001-09-10,CCA,Third Circuit,2002-05-09
"Mansmann, Carol Los",Deceased,2002-03-09,,,CCA,Third Circuit,2002-05-09
"Lechner, Alfred J. Jr",Resigned,2001-10-01,,,NJ,Third Circuit,2002-05-09
"Lifland, John C.",Senior,2001-06-15,"Martini, William J.",2002-01-23,NJ,Third Circuit,2002-05-09
"Politan, Nicholas H.",Retired,2002-01-04,,,NJ,Third Circuit,2002-05-09
"Thompson, Anne E.",Senior,2001-06-01,"Chesler, Stanley R.",2002-01-23,NJ,Third Circuit,2002-05-09
"Cahn, Edward N.",Retired,1998-12-31,"Savage, Timothy J.",2002-03-21,PA-E,Third Circuit,2002-05-09
"DuBois, Jan E.",Senior,2002-04-15,"Gardner, James Knoll",2002-04-22,PA-E,Third Circuit,2002-05-09
"McClure, James F. Jr.",Senior,2001-04-07,"Jones, John E. III",2002-02-28,PA-M,Third Circuit,2002-05-09
"Rambo, Sylvia H.",Senior,2001-04-18,"Conner, Christopher C.",2002-02-28,PA-M,Third Circuit,2002-05-09
"Bloch, Alan N.",Senior,1997-04-12,"Conti, Joy Flowers",2002-01-23,PA-W,Third Circuit,2002-05-09
"Cohill, Maurice B. Jr.",Senior,1994-11-28,"Schwab, Arthur J.",2002-01-23,PA-W,Third Circuit,2002-05-09
"Lee, Donald J.",Senior,2000-04-06,"Cercone, David S.",2002-03-21,PA-W,Third Circuit,2002-05-09
"Standish, William L.",Senior,2002-03-01,,,PA-W,Third Circuit,2002-05-09
"Ziegler, Donald E.",Senior,2001-10-01,"McVerry, Terrence F.",2002-01-23,PA-W,Third Circuit,2002-05-09
"Ervin, Sam J. III",Deceased,1999-09-18,,,CCA,Fourth Circuit,2002-05-09
"Hamilton, Clyde H.",Senior,1999-11-30,"Shedd, Dennis W.",2001-09-04,CCA,Fourth Circuit,2002-05-09
"Murnaghan, Francis",Deceased,2000-08-31,,,CCA,Fourth Circuit,2002-05-09
"Phillips, J. Dickson Jr.",Senior,1994-07-31,"Boyle, Terrence W.",2001-09-04,CCA,Fourth Circuit,2002-05-09
"Britt, W. Earl",Senior,1997-12-07,,,NC-E,Fourth Circuit,2002-05-09
