Vacancy Created By,Reason,Vacancy Date,Nominee,Nomination,Circuit,CT,date
"Scullin, Frederick J., Jr.",Senior,2006-03-13,"Donohue, Mary O.",2007-01-09,NY-N,Second Circuit,2007-08-01
"Casey, Richard Conway",Deceased,2007-03-22,,,NY-S,Second Circuit,2007-08-01
"Van Antwerpen, Franklin S.",Senior,2006-10-23,,,CCA,Third Circuit,2007-08-01
"Murnaghan, Francis",Deceased,2000-08-31,,,CCA,Fourth Circuit,2007-08-01
"Phillips, J. Dickson, Jr.",Senior,1994-07-31,"Conrad, Robert J., Jr.",2007-07-17,CCA,Fourth Circuit,2007-08-01
"Widener, H. Emory, Jr.",Senior,2007-07-17,,,CCA,Fourth Circuit,2007-08-01
"Wilkins, William W.",Senior,2007-07-01,,,CCA,Fourth Circuit,2007-08-01
"Osteen, William L.",Senior,2006-04-03,"Osteen, William L., Jr.",2007-01-09,NC-M,Fourth Circuit,2007-08-01
"Payne, Robert E.",Senior,2007-05-07,,,VA-E,Fourth Circuit,2007-08-01
"Higginbotham, Patrick E.",Senior,2006-08-28,"Elrod, Jennifer Walker",2007-03-29,CCA,Fifth Circuit,2007-08-01
"Pickering, Charles W.",Retired,2004-12-08,"Southwick, Leslie",2007-01-09,CCA,Fifth Circuit,2007-08-01
"Ryan, James L.",Senior,2000-01-01,"Kethledge, Raymond M.",2007-03-19,CCA,Sixth Circuit,2007-08-01
"O'Meara, John Corbett",Senior,2007-01-01,,,MI-E,Sixth Circuit,2007-08-01
"Roberts, John G.",Elevated,2005-09-29,"Keisler, Peter D.",2007-01-09,CCA,District of Columbia Circuit,2007-08-01
