Vacancy Created By,Reason,Vacancy Date,Nominee,Nomination,Circuit,CT,date
"Lagueux, Ronald R.",Senior,2001-11-30,"Smith, William E.",2002-07-18,RI,First Circuit,2002-11-06
"Leval, Pierre N.",Senior,2002-08-16,,,CCA,Second Circuit,2002-11-06
"Platt, Thomas C.",Senior,2001-02-01,"Feuerstein, Sandra J.",2002-07-25,NY-E,Second Circuit,2002-11-06
"Raggi, Reena",Elevated,2002-09-20,,,NY-E,Second Circuit,2002-11-06
"McKenna, Lawrence",Senior,2002-05-24,,,NY-S,Second Circuit,2002-11-06
"Parker, Barrington D. Jr.",Elevated,2001-10-11,"Holwell, Richard J.",2002-08-01,NY-S,Second Circuit,2002-11-06
"Greenberg, Morton I.",Senior,2000-06-30,,,CCA,Third Circuit,2002-11-06
"Mansmann, Carol Los",Deceased,2002-03-09,,,CCA,Third Circuit,2002-11-06
"McKelvie, Roderick R.",Resigned,2002-06-28,"Jordan, Kent A.",2002-07-25,DE,Third Circuit,2002-11-06
"Irenas, Joseph E.",Disabled,2002-07-01,"Kugler, Robert B.",2002-08-01,NJ,Third Circuit,2002-11-06
"Lechner, Alfred J. Jr",Resigned,2001-10-01,"Linares, Jose L.",2002-08-01,NJ,Third Circuit,2002-11-06
"Lifland, John C.",Senior,2001-06-15,"Martini, William J.",2002-01-23,NJ,Third Circuit,2002-11-06
"Politan, Nicholas H.",Retired,2002-01-04,"Wolfson, Freda L.",2002-08-01,NJ,Third Circuit,2002-11-06
"Thompson, Anne E.",Senior,2001-06-01,"Chesler, Stanley R.",2002-01-23,NJ,Third Circuit,2002-11-06
"Smith, D. Brooks",Elevated,2002-07-31,,,PA-W,Third Circuit,2002-11-06
"Standish, William L.",Senior,2002-03-01,,,PA-W,Third Circuit,2002-11-06
"Ervin, Sam J. III",Deceased,1999-09-18,,,CCA,Fourth Circuit,2002-11-06
"Hamilton, Clyde H.",Senior,1999-11-30,"Shedd, Dennis W.",2001-09-04,CCA,Fourth Circuit,2002-11-06
"Murnaghan, Francis",Deceased,2000-08-31,,,CCA,Fourth Circuit,2002-11-06
"Phillips, J. Dickson Jr.",Senior,1994-07-31,"Boyle, Terrence W.",2001-09-04,CCA,Fourth Circuit,2002-11-06
"Nickerson, William M.",Senior,2002-06-11,"Quarles, William D. Jr",2002-09-12,MD,Fourth Circuit,2002-11-06
"Britt, W. Earl",Senior,1997-12-07,"Dever, James C. III",2002-05-22,NC-E,Fourth Circuit,2002-11-06
"Fox, James C.",Senior,2001-01-31,,,NC-E,Fourth Circuit,2002-11-06
"Turk, James C.",Senior,2002-11-02,,,VA-E,Fourth Circuit,2002-11-06
"Garwood, William L.",Senior,1997-01-23,"Owen, Priscilla Richman",2001-09-04,CCA,Fifth Circuit,2002-11-06
"Parker, Robert M.",Retired,2002-11-01,,,CCA,Fifth Circuit,2002-11-06
"Politz, Henry A.",Senior,1999-08-10,"Pickering, Charles W. Sr.",2001-09-04,CCA,Fifth Circuit,2002-11-06
"Little, F.A. Jr",Senior,2002-05-30,,,LA-W,Fifth Circuit,2002-11-06
"Trimble, James T. Jr",Senior,2002-09-13,,,LA-W,Fifth Circuit,2002-11-06
"Walter, Donald E.",Senior,2001-11-30,"Hicks, S. Maurice Jr",2002-09-12,LA-W,Fifth Circuit,2002-11-06
"Kendall, Joe",Resigned,2002-01-22,"Kinkeade, James E.",2002-07-18,TX-N,Fifth Circuit,2002-11-06
"Garcia, Hipolito F.",Senior,2002-01-15,"Junell, Robert A.",2002-07-18,TX-W,Fifth Circuit,2002-11-06
"Hudspeth, Harry",Senior,2001-06-30,"Ludlum, Alia M.",2002-07-11,TX-W,Fifth Circuit,2002-11-06
"Keith, Damon",Senior,1995-05-01,"Griffin, Richard A.",2002-06-26,CCA,Sixth Circuit,2002-11-06
"Kennedy, Cornelia",Senior,1999-03-01,"Neilson, Susan Bieke",2001-11-08,CCA,Sixth Circuit,2002-11-06
"Nelson, David A.",Senior,1999-10-01,"Sutton, Jeffrey S.",2001-09-04,CCA,Sixth Circuit,2002-11-06
"Norris, Alan E.",Senior,2001-07-01,"Cook, Deborah L.",2001-09-04,CCA,Sixth Circuit,2002-11-06
"Ryan, James L.",Senior,2000-01-01,"Saad, Henry W.",2001-11-08,CCA,Sixth Circuit,2002-11-06
"Siler, Eugene E. Jr",Senior,2001-12-31,"Rogers, John M.",2001-12-19,CCA,Sixth Circuit,2002-11-06
"Suhrheinrich, Richard F.",Senior,2001-08-15,"McKeague, David W.",2001-11-08,CCA,Sixth Circuit,2002-11-06
"Duggan, Patrick J.",Senior,2000-09-29,,,MI-E,Sixth Circuit,2002-11-06
"Gadola, Paul V.",Senior,2001-01-31,"Ludington, Thomas L.",2002-09-12,MI-E,Sixth Circuit,2002-11-06
"White, George W.",Retired,1999-02-26,"Adams, John R.",2002-10-10,OH-N,Sixth Circuit,2002-11-06
"Smith, George C.",Senior,2002-01-01,"Frost, Gregory L.",2002-08-01,OH-S,Sixth Circuit,2002-11-06
"Hull, Thomas Gray",Senior,2002-10-01,,,TN-E,Sixth Circuit,2002-11-06
"Jarvis, James H.",Senior,2002-02-28,"Phillips, Thomas W.",2002-06-26,TN-E,Sixth Circuit,2002-11-06
"Jordan, Robert Leon",Senior,2001-11-30,"Varlan, Thomas A.",2002-10-10,TN-E,Sixth Circuit,2002-11-06
"Gibbons, Julia Smith",Elevated,2002-07-29,"Breen, J. Daniel",2002-10-10,TN-W,Sixth Circuit,2002-11-06
"Aspen, Marvin E.",Senior,2002-07-01,,,IL-N,Seventh Circuit,2002-11-06
"Leinenweber, Harry D.",Senior,2002-06-03,,,IL-N,Seventh Circuit,2002-11-06
"Reasoner, Stephen M.",Senior,2002-09-19,,,AR-E,Eighth Circuit,2002-11-06
"Melloy, Michael J.",Elevated,2002-02-11,"Reade, Linda R.",2002-06-26,IA-N,Eighth Circuit,2002-11-06
"Conmy, Patrick",Senior,2000-01-05,"Hovland, Daniel L.",2002-06-26,ND,Eighth Circuit,2002-11-06
"Webb, Rodney S.",Senior,2001-12-31,"Erickson, Ralph R.",2002-09-12,ND,Eighth Circuit,2002-11-06
"Browning, James R",Senior,2000-09-01,"Kuhl, Carolyn B.",2001-09-04,CCA,Ninth Circuit,2002-11-06
"Fernandez, Ferdinand",Senior,2002-06-01,,,CCA,Ninth Circuit,2002-11-06
"Hug, Proctor Jr.",Senior,2002-01-01,"Bybee, Jay S.",2002-05-22,CCA,Ninth Circuit,2002-11-06
"Wiggins, Charles E.",Senior,1996-12-31,,,CCA,Ninth Circuit,2002-11-06
"Legge, Charles A.",Retired,2001-06-30,"White, Jeffrey S.",2002-07-25,CA-N,Ninth Circuit,2002-11-06
"Keller, William",Senior,1999-10-29,"Klausner, Robert G.",2002-07-18,CA-C,Ninth Circuit,2002-11-06
"Letts, J. Spencer",Senior,2000-12-19,,,CA-C,Ninth Circuit,2002-11-06
"Moreno, Carlos R.",Resigned,2001-10-18,"Carney, Cormac J.",2002-10-10,CA-C,Ninth Circuit,2002-11-06
"Paez, Richard A.",Elevated,2000-03-09,"Otero, S. James",2002-07-18,CA-C,Ninth Circuit,2002-11-06
"Kay, Alan C.",Senior,2000-01-01,"Rohlfing, Frederick W.",2002-01-23,HI,Ninth Circuit,2002-11-06
"Jones, Robert E.",Senior,2000-05-01,,,OR,Ninth Circuit,2002-11-06
"Bryan, Robert J.",Senior,2000-11-01,"Leighton, Ronald B.",2002-01-23,WA-W,Ninth Circuit,2002-11-06
"Anderson, Stephen H.",Senior,2000-01-01,"McConnell, Michael W.",2001-09-04,CCA,Tenth Circuit,2002-11-06
"Porfilio, John C.",Senior,1999-10-15,"Tymkovich, Timothy M.",2001-09-04,CCA,Tenth Circuit,2002-11-06
"Cox, Emmett Ripley",Senior,2000-12-18,"Steele, William H.",2001-10-09,CCA,Eleventh Circuit,2002-11-06
"Buttram, H. Dean Jr",Resigned,2002-06-30,,,AL-N,Eleventh Circuit,2002-11-06
"De Ment, Ira",Senior,2002-04-15,"Fuller, Mark E.",2002-08-01,AL-M,Eleventh Circuit,2002-11-06
"Vollmer, Richard W., Jr",Senior,2000-12-31,,,AL-S,Eleventh Circuit,2002-11-06
"Highsmith, Shelby",Senior,2002-03-15,,,FL-S,Eleventh Circuit,2002-11-06
"Buckley, James L.",Senior,1996-08-31,"Roberts, John G. Jr.",2001-09-04,CCA,District of Columbia Circuit,2002-11-06
"Silberman, Laurence H.",Senior,2000-11-01,,,CCA,District of Columbia Circuit,2002-11-06
"Wald, Patricia M.",Retired,1999-11-16,"Estrada, Miguel A.",2001-09-04,CCA,District of Columbia Circuit,2002-11-06
"Williams, Stephen F.",Senior,2001-09-30,,,CCA,District of Columbia Circuit,2002-11-06
"Jackson, Thomas P",Senior,2002-01-31,"Collyer, Rosemary M.",2002-08-01,DC,District of Columbia Circuit,2002-11-06
"Goldberg, Richard",Senior,2001-04-02,"Stanceu, Timothy C.",2001-12-19,USIT,International Trade,2002-11-06
