Vacancy Created By,Reason,Vacancy Date,Nominee,Nomination,Circuit,CT,date,Nomination Date
PL 95-486,New Position,1978-11-08,,,PR,First Circuit,1981-11-01,
"Toledo, Jose",Deceased,1980-02-03,,,PR,First Circuit,1981-11-01,
"Gurfein, Murray",Deceased,1979-12-16,"Pierce, Lawrence W.",,CCA,Second Circuit,1981-11-01,9/8/1981
"Mansfield, Walter",Retired,1981-07-02,,,CCA,Second Circuit,1981-11-01,
"Timbers, William",Retired,1981-07-10,,,CCA,Second Circuit,1981-11-01,
"Mishler, Jacob",Retired,1980-04-30,,,NY-E,Second Circuit,1981-11-01,
"Burke, Harold P.",Retired,1981-06-15,,,NY-W,Second Circuit,1981-11-01,
"Rosenn, Max",Retired,1981-01-21,,,CCA,Third Circuit,1981-11-01,
"Herman, R. Dixon",Retired,1981-10-01,,,PA-M,Third Circuit,1981-11-01,
"Knox, William W.",Deceased,1981-08-30,,,PA-W,Third Circuit,1981-11-01,
"Snyder, Daniel J.",Deceased,1980-05-11,,,PA-W,Third Circuit,1981-11-01,
"Young, Warren",Deceased,1980-06-06,,,VI,Third Circuit,1981-11-01,
"Northrop, Edward S.",Retired,1981-06-12,,,MD,Fourth Circuit,1981-11-01,
PL 95-486,New Position,1978-11-08,,,NC-E,Fourth Circuit,1981-11-01,
"Chapman, Robert F.",Elevated,1981-09-16,,,SC,Fourth Circuit,1981-11-01,
"Kellam, Richard B.",Retired,1981-05-30,,,VA-E,Fourth Circuit,1981-11-01,
PL 95-486,New Position,1978-11-08,"Cacheris, James C.",,VA-E,Fourth Circuit,1981-11-01,10/20/1981
PL 95-486,New Position,1978-11-08,,,VA-W,Fourth Circuit,1981-11-01,
"Coleman, James",Retired,1981-05-30,,,CCA,Fifth Circuit,1981-11-01,
"Celebrezze, Anthony J.",Retired,1980-10-01,,,CCA,Sixth Circuit,1981-11-01,
"Thomas, William",Retired,1981-02-15,,,OH-N,Sixth Circuit,1981-11-01,
"Young, Don",Retired,1980-07-01,,,OH-N,Sixth Circuit,1981-11-01,
"Fairchild, Thomas",Retired,1981-08-31,,,CCA,Seventh Circuit,1981-11-01,
"Swygert, Luther",Retired,1981-07-01,"Eschbach, Jesse E.",,CCA,Seventh Circuit,1981-11-01,10/20/1981
"Tone, Philip",Resigned,1980-04-30,"Posner, Richard A.",,CCA,Seventh Circuit,1981-11-01,10/27/1981
"Crowley, John",Resigned,1981-06-30,,,IL-N,Seventh Circuit,1981-11-01,
"Decker, Bernard",Retired,1981-04-02,,,IL-N,Seventh Circuit,1981-11-01,
"Parsons, James B.",Retired,1981-08-30,,,IL-N,Seventh Circuit,1981-11-01,
McNagny,Deceased,1981-03-28,,,IN-N,Seventh Circuit,1981-11-01,
"Doyle, James E.",Retired,1980-07-07,,,WI-W,Seventh Circuit,1981-11-01,
"Gibson, Floyd",Retired,1979-12-31,,,CCA,Eighth Circuit,1981-11-01,
"Denney, Robert V.",Retired,1981-04-16,"Beam, Clarence A.",,NE,Eighth Circuit,1981-11-01,10/14/1981
"Nichol, Fred",Retired,1980-06-11,"Jones, John Bailey",,SD,Eighth Circuit,1981-11-01,10/20/1981
"Renfrew, Charles",Resigned,1980-02-27,,,CA-N,Ninth Circuit,1981-11-01,
"Crocker, Myron",Retired,1981-01-01,,,CA-E,Ninth Circuit,1981-11-01,
"Hill, Irving",Retired,1980-10-15,,,CA-C,Ninth Circuit,1981-11-01,
"Pregerson, Harry",Elevated,1979-11-06,"Hall, Cynthia Holcomb",,CA-C,Ninth Circuit,1981-11-01,10/14/1981
"Williams, David",Retired,1981-01-17,,,CA-C,Ninth Circuit,1981-11-01,
"McNichols, Ray",Retired,1981-07-01,,,ID,Ninth Circuit,1981-11-01,
"Theis, Frank",Retired,1981-07-31,,,KS,Tenth Circuit,1981-11-01,
"Pittman, Virgil",Retired,1981-07-15,"Cox, Emmett Ripley",,AL-S,Eleventh Circuit,1981-11-01,10/14/1981
"Arnow, Winston",Retired,1981-03-14,,,FL-N,Eleventh Circuit,1981-11-01,
PL 95-486,New Position,1978-11-08,,,FL-M,Eleventh Circuit,1981-11-01,
"Young, George C.",Retired,1981-10-19,,,FL-M,Eleventh Circuit,1981-11-01,
"Edenfield, Newell",Retired,1981-09-01,,,GA-N,Eleventh Circuit,1981-11-01,
"McGowan, Carl",Retired,1981-08-31,,,CCA,District of Columbia Circuit,1981-11-01,
