Vacancy Created By,Reason,Vacancy Date,Nominee,Nomination,Circuit,CT,date,Nomination Date
PL 98-353,New Position,1984-07-10,,,CCA,First Circuit,1985-04-01,
PL 98-353,New Position,1984-07-10,"Wolf, Mark L.",,MA,First Circuit,1985-04-01,3/8/1985
PL 98-353,New Position,1984-07-10,"Young, William G.",,MA,First Circuit,1985-04-01,3/8/1985
PL 98-353,New Position,1984-07-10,,,RI,First Circuit,1985-04-01,
"Torruella, Juan del Valle",Elevated,1984-10-31,,,PR,First Circuit,1985-04-01,
PL 98-353,New Position,1984-07-10,,,CCA,Second Circuit,1985-04-01,
PL 98-353,New Position,1984-07-10,,,CCA,Second Circuit,1985-04-01,
PL 98-353,New Position,1984-07-10,,,CT,Second Circuit,1985-04-01,
PL 98-353,New Position,1984-07-10,,,NY-N,Second Circuit,1985-04-01,
PL 98-353,New Position,1984-07-10,,,NY-E,Second Circuit,1985-04-01,
PL 98-353,New Position,1984-07-10,,,NY-E,Second Circuit,1985-04-01,
"Lasker, Morris E.",Retired,1983-10-03,,,NY-S,Second Circuit,1985-04-01,
"Stewart, Jr., Charles E.",Retired,1985-01-02,,,NY-S,Second Circuit,1985-04-01,
"Werker, Henry F.",Deceased,1984-05-10,,,NY-S,Second Circuit,1985-04-01,
PL 98-353,New Position,1984-07-10,,,NY-W,Second Circuit,1985-04-01,
PL 98-353,New Position,1984-07-10,"Mansmann, Carol Los",,CCA,Third Circuit,1985-04-01,3/7/1985
PL 98-353,New Position,1984-07-10,"Stapleton, Walter K.",,CCA,Third Circuit,1985-04-01,3/28/1985
PL 98-353,New Position,1984-07-10,,,DE,Third Circuit,1985-04-01,
PL 98-353,New Position,1984-07-10,"Rodriquez, Joseph H.",,NJ,Third Circuit,1985-04-01,2/28/1985
PL 98-353,New Position,1984-07-10,,,NJ,Third Circuit,1985-04-01,
PL 98-353,New Position,1984-07-10,,,NJ,Third Circuit,1985-04-01,
"Broderick, Raymond J.",Retired,1984-07-01,,,PA-E,Third Circuit,1985-04-01,
"Muir, Malcolm",Retired,1984-08-31,,,PA-M,Third Circuit,1985-04-01,
"McCune, Barron P.",Retired,1985-04-01,,,PA-W,Third Circuit,1985-04-01,
PL 98-353,New Position,1984-07-10,,,MD,Fourth Circuit,1985-04-01,
PL 98-353,New Position,1984-07-10,,,NC-E,Fourth Circuit,1985-04-01,
"Jones, Woodrow W.",Retired,1985-02-01,,,NC-W,Fourth Circuit,1985-04-01,
PL 98-353,New Position,1984-07-10,,,VA-E,Fourth Circuit,1985-04-01,
PL 98-353,New Position,1984-07-10,"Jones, Edith H.",,CCA,Fifth Circuit,1985-04-01,2/27/1985
PL 98-353,New Position,1984-07-10,,,CCA,Fifth Circuit,1985-04-01,
PL 98-353,New Position,1984-07-10,,,LA-W,Fifth Circuit,1985-04-01,
PL 98-353,New Position,1984-07-10,,,MS-N,Fifth Circuit,1985-04-01,
PL 98-353,New Position,1984-07-10,,,MS-S,Fifth Circuit,1985-04-01,
PL 98-353,New Position,1984-07-10,,,MS-S,Fifth Circuit,1985-04-01,
"Hill, Robert M.",Elevated,1984-07-20,,,TX-N,Fifth Circuit,1985-04-01,
PL 98-353,New Position,1984-07-10,,,TX-N,Fifth Circuit,1985-04-01,
"Fisher, Joe J.",Retired,1984-01-30,,,TX-E,Fifth Circuit,1985-04-01,
PL 98-353,New Position,1984-07-10,,,TX-E,Fifth Circuit,1985-04-01,
PL 98-353,New Position,1984-07-10,"Cobb, Howell",,TX-E,Fifth Circuit,1985-04-01,2/26/1985
"O'Conor, Jr. Robert",Resigned,1984-09-30,,,TX-S,Fifth Circuit,1985-04-01,
"Edwards, George",Retired,1985-01-15,,,CCA,Sixth Circuit,1985-04-01,
PL 98-353,New Position,1984-07-10,,,CCA,Sixth Circuit,1985-04-01,
PL 98-353,New Position,1984-07-10,,,CCA,Sixth Circuit,1985-04-01,
PL 98-353,New Position,1984-07-10,,,CCA,Sixth Circuit,1985-04-01,
PL 98-353,New Position,1984-07-10,"Meredith, Ronald E.",,KY-W,Sixth Circuit,1985-04-01,2/27/1985
"Joiner, Charles W.",Retired,1984-08-15,,,MI-E,Sixth Circuit,1985-04-01,
PL 98-353,New Position,1984-07-10,"LaPlata, George",,MI-E,Sixth Circuit,1985-04-01,2/27/1985
PL 98-353,New Position,1984-07-10,,,MI-E,Sixth Circuit,1985-04-01,
PL 98-353,New Position,1984-07-10,"Batchelder, Alice M.",,OH-N,Sixth Circuit,1985-04-01,2/28/1985
PL 98-353,New Position,1984-07-10,"Weber, Herman J.",,OH-S,Sixth Circuit,1985-04-01,2/28/1985
"Milburn, H. Theodore",Elevated,1984-10-08,"Edgar, R. Allan",,TN-E,Sixth Circuit,1985-04-01,2/26/1985
"Taylor, Robert L.",Retired,1985-01-15,,,TN-E,Sixth Circuit,1985-04-01,
PL 98-353,New Position,1984-07-10,,,TN-W,Sixth Circuit,1985-04-01,
"Pell, Wilbur F.",Retired,1984-07-31,,,CCA,Seventh Circuit,1985-04-01,
PL 98-353,New Position,1984-07-10,"Ripple, Kenneth F.",,CCA,Seventh Circuit,1985-04-01,4/1/1985
PL 98-353,New Position,1984-07-10,"Easterbrook, Frank H.",,CCA,Seventh Circuit,1985-04-01,2/25/1985
"McMillen, Thomas R.",Retired,1984-12-31,,,IL-N,Seventh Circuit,1985-04-01,
PL 98-353,New Position,1984-07-10,"Holderman, Jr., James F.",,IL-N,Seventh Circuit,1985-04-01,2/25/1985
PL 98-353,New Position,1984-07-10,"Williams, Ann C.",,IL-N,Seventh Circuit,1985-04-01,3/13/1985
PL 98-353,New Position,1984-07-10,,,IL-N,Seventh Circuit,1985-04-01,
PL 98-353,New Position,1984-07-10,,,IL-N,Seventh Circuit,1985-04-01,
"Ackerman, J. Waldo",Deceased,1984-11-23,,,IL-C,Seventh Circuit,1985-04-01,
PL 98-353,New Position,1984-07-10,,,IL-S,Seventh Circuit,1985-04-01,
PL 98-353,New Position,1984-07-10,,,IN-N,Seventh Circuit,1985-04-01,
PL 98-353,New Position,1984-07-10,,,CCA,Eighth Circuit,1985-04-01,
PL 98-353,New Position,1984-07-10,,,AR-W,Eighth Circuit,1985-04-01,
"McManus, Edward J.",Retired,1985-02-09,,,IA-N,Eighth Circuit,1985-04-01,
PL 98-353,New Position,1984-07-10,,,MN,Eighth Circuit,1985-04-01,
PL 98-353,New Position,1984-07-10,,,MO-E,Eighth Circuit,1985-04-01,
"Van Sickle, Bruce",Retired,1985-02-28,,,ND,Eighth Circuit,1985-04-01,
"Choy, Herbert Y.C.",Retired,1984-10-13,"Brunetti, Melvin T.",,CCA,Ninth Circuit,1985-04-01,2/26/1985
PL 98-353,New Position,1984-07-10,,,CCA,Ninth Circuit,1985-04-01,
PL 98-353,New Position,1984-07-10,,,CCA,Ninth Circuit,1985-04-01,
PL 98-353,New Position,1984-07-10,,,CCA,Ninth Circuit,1985-04-01,
PL 98-353,New Position,1984-07-10,,,AK,Ninth Circuit,1985-04-01,
"Cordova, Valdemar",Disabled,1984-04-20,,,AZ,Ninth Circuit,1985-04-01,
"Muecke, C.A.",Retired,1984-11-30,,,AZ,Ninth Circuit,1985-04-01,
"Hall, Cynthia Holcolm",Elevated,1984-10-04,,,CA-C,Ninth Circuit,1985-04-01,
PL 98-353,New Position,1984-07-10,,,CA-C,Ninth Circuit,1985-04-01,
PL 98-353,New Position,1984-07-10,,,CA-C,Ninth Circuit,1985-04-01,
