Vacancy Created By,Reason,Vacancy Date,Nominee,Nomination,Circuit,CT,date
"Nygaard, Richard L.",Senior,2005-07-09,,,CCA,Third Circuit,2006-10-01
"Roth, Jane R.",Senior,2006-05-31,"Jordan, Kent A.",2006-06-28,CCA,Third Circuit,2006-10-01
"Murnaghan, Francis",Deceased,2000-08-31,,,CCA,Fourth Circuit,2006-10-01
"Phillips, J. Dickson Jr.",Senior,1994-07-31,"Boyle, Terrence W.",2006-09-05,CCA,Fourth Circuit,2006-10-01
"Osteen, William L.",Senior,2006-04-03,,,NC-M,Fourth Circuit,2006-10-01
"Pickering, Charles W.Sr.",Retired,2004-12-08,"Wallace, Michael Brunson",2006-09-05,CCA,Fifth Circuit,2006-10-01
"Bramlette, David C.",Senior,2006-03-20,"Ozerden, Halil Suleyman",2006-09-05,MS-S,Fifth Circuit,2006-10-01
"Ryan, James L.",Senior,2000-01-01,"Kethledge, Raymond M.",2006-06-28,CCA,Sixth Circuit,2006-10-01
"McKeague, David W.",Elevated,2005-06-13,"Neff, Janet T.",2006-06-28,MI-W,Sixth Circuit,2006-10-01
"Quist, Gordon J.",Senior,2006-01-01,"Jonker, Robert James",2006-06-28,MI-W,Sixth Circuit,2006-10-01
"Trott, Stephen S.",Senior,2004-12-31,"Smith, Norman Randy",2006-09-05,CCA,Ninth Circuit,2006-10-01
"Lew, S.W., Ronald",Senior,2006-09-19,"Wu, George H.",2006-09-05,CA-C,Ninth Circuit,2006-10-01
"Marshall, Consuelo B.",Senior,2005-10-24,"Baker, Valerie L.",2006-05-04,CA-C,Ninth Circuit,2006-10-01
"Taylor, Gary L.",Senior,2004-12-08,"Wright II, Otis D.",2006-09-05,CA-C,Ninth Circuit,2006-10-01
"Coughenour, John C.",Senior,2006-07-27,,,WA-W,Ninth Circuit,2006-10-01
"Edenfield, B. Avant",Senior,2006-08-02,,,GA-S,Eleventh Circuit,2006-10-01
"Roberts, John G.",Elevated,2005-09-29,"Keisler, Peter D.",2006-06-29,CCA,District of Columbia Circuit,2006-10-01
