Court,Incumbent,Vacancy Reason,Vacancy Date,Nominee,Nomination Date
01 - MA,"Ponsor,Michael A.",Senior,08/15/2011,,
01 - MA,"Gertner,Nancy",Senior,05/22/2011,,
01 - ME,"Hornby,D. Brock",Senior,04/30/2010,"Torresen,Nancy",03/02/2011
01 - PR,"Dominguez,Daniel R.",Senior,07/31/2011,,
02 - CCA,"Calabresi,Guido",Senior,07/21/2009,"Droney,Christopher",05/04/2011
02 - NYE,"Dearie,Raymond J.",Senior,04/03/2011,,
02 - NYE,"Ross,Allyne",Senior,04/05/2011,"Brodie,Margo Kitsy",06/07/2011
02 - NYE,"Gershon,Nina",Senior,10/16/2008,"Kuntz II,William Francis",03/09/2011
02 - NYS,"Scheindlin,Shira Ann",Senior,08/16/2011,,
02 - NYS,"Kaplan,Lewis A.",Senior,02/01/2011,"Abrams,Ronnie",07/28/2011
02 - NYS,"Marrero,Victor",Senior,12/31/2010,"Carter Jr.,Andrew L.",05/19/2011
02 - NYS,"Rakoff,Jed S.",Senior,12/31/2010,"Forrest,Katherine B.",05/04/2011
02 - NYS,"Hellerstein,Alvin K.",Senior,01/31/2011,"Furman,Jesse M.",06/07/2011
02 - NYS,"Stein,Sidney H.",Senior,09/01/2010,"Nathan,Alison J.",03/31/2011
02 - NYS,"Robinson,Stephen C.",Resigned,08/11/2010,"Ramos,Edgardo",05/04/2011
02 - NYW,"Larimer,David G.",Senior,03/03/2009,"Green,Michael Charles",01/26/2011
03 - CCA,"Barry,Maryanne Trump",Senior,06/30/2011,,
03 - DE,"Farnan Jr.,Joseph J.",Retired,07/31/2010,"Andrews,Richard G.",05/11/2011
03 - NJ,"Cooper,Mary Little",Senior,08/31/2011,,
03 - PAE,"Brody,Anita B.",Senior,06/08/2009,,
03 - PAE,"Surrick,R. Barclay",Senior,02/01/2011,,
03 - PAE,"Golden,Thomas M.",Deceased,07/31/2010,,
03 - PAM,"Caputo,A. Richard",Senior,03/31/2009,,
03 - PAM,"Vanaskie,Thomas I.",Elevated,04/21/2010,,
03 - PAM,"Munley,James M.",Senior,01/30/2009,"Mariani,Robert David",01/05/2011
03 - PAW,"Hardiman,Thomas M.",Elevated,03/15/2007,"Bissoon,Cathy",01/05/2011
03 - PAW,"Ambrose,Donetta W.",Senior,11/05/2010,"Hornak,Mark Raymond",01/05/2011
04 - CCA,"Michael,M. Blane",Deceased,03/25/2011,,
