Vacancy Created By,Reason,Vacancy Date,Nominee,Nomination,Circuit,CT,date
"Perez-Gimenez, Juan M.",Senior,2006-03-28,"Besosa, Francisco Augusto",2006-05-16,PR,First Circuit,2006-07-01
"Nygaard, Richard L.",Senior,2005-07-09,,,CCA,Third Circuit,2006-07-01
"Roth, Jane R.",Senior,2006-05-31,"Jordan, Kent A.",2006-06-28,CCA,Third Circuit,2006-07-01
"Murnaghan, Francis",Deceased,2000-08-31,,,CCA,Fourth Circuit,2006-07-01
"Phillips, J. Dickson Jr.",Senior,1994-07-31,"Boyle, Terrence W.",2005-02-14,CCA,Fourth Circuit,2006-07-01
"Osteen, William L.",Senior,2006-04-03,,,NC-M,Fourth Circuit,2006-07-01
"Bramlette, David C.",Senior,2006-03-20,,,MS-S,Fifth Circuit,2006-07-01
"Lee, Tom S.",Senior,2006-04-08,"Jordan, Daniel Porter III",2006-04-24,MS-S,Fifth Circuit,2006-07-01
"Ryan, James L.",Senior,2000-01-01,"Kethledge, Raymond M.",2006-06-28,CCA,Sixth Circuit,2006-07-01
"McKeague, David W.",Elevated,2005-06-13,"Neff, Janet T.",2006-06-28,MI-W,Sixth Circuit,2006-07-01
"Quist, Gordon J.",Senior,2006-01-01,"Jonker, Robert James",2006-06-28,MI-W,Sixth Circuit,2006-07-01
"Trott, Stephen S.",Senior,2004-12-31,"Smith, Norman Randy",2005-12-16,CCA,Ninth Circuit,2006-07-01
"Marshall, Consuelo B.",Senior,2005-10-24,"Baker, Valerie L.",2006-05-04,CA-C,Ninth Circuit,2006-07-01
"Taylor, Gary L.",Senior,2004-12-08,,,CA-C,Ninth Circuit,2006-07-01
"Seymour, Stephanie K.",Senior,2005-10-16,"Holmes, Jerome A.",2006-05-04,CCA,Tenth Circuit,2006-07-01
"Roberts, John G.",Elevated,2005-09-29,,,CCA,District of Columbia Circuit,2006-07-01
