Vacancy Created By,Reason,Vacancy Date,Nominee,Nomination,Circuit,CT,date
"Van Antwerpen, Franklin S.",Senior,2006-10-23,"Diamond, Paul S.",2008-07-24,CCA,Third Circuit,2009-01-01
"Phillips, J. Dickson, Jr.",Senior,1994-07-31,"Conrad, Robert J., Jr.",2007-07-17,CCA,Fourth Circuit,2009-01-01
"Widener, H. Emory, Jr.",Deceased,2007-09-19,"Conrad, Glen E.",2008-05-08,CCA,Fourth Circuit,2009-01-01
"Wilkins, William W.",Senior,2007-07-01,"Matthews, Steve A.",2007-09-06,CCA,Fourth Circuit,2009-01-01
"O'Meara, John Corbett",Senior,2007-01-01,,,MI-E,Sixth Circuit,2009-01-01
"Wilson, Jr., William R.",Senior,2008-09-30,,,AR-E,Eighth Circuit,2009-01-01
"Schiavelli, George P.",Resigned,2008-10-05,,,CA-C,Ninth Circuit,2009-01-01
"Nottingham, Edward W.",Resigned,2008-10-29,,,CO,Tenth Circuit,2009-01-01
"Evans, Orinda D.",Senior,2008-12-31,,,GA-N,Eleventh Circuit,2009-01-01
"Roberts, John G.",Elevated,2005-09-29,"Keisler, Peter D.",2007-01-09,CCA,District of Columbia Circuit,2009-01-01
"Kessler, Gladys",Senior,2007-01-22,"O'Neill, Michael",2008-06-19,DC,District of Columbia Circuit,2009-01-01
"Robertson, James",Senior,2008-12-31,,,DC,District of Columbia Circuit,2009-01-01
