Vacancy Created By,Reason,Vacancy Date,Nominee,Nomination,Circuit,CT,date,Nomination Date
"Lasker, Morris E.",Retired,1983-10-03,,,NY-S,Second Circuit,1984-07-01,
"Werker, Henry F.",Deceased,1984-05-10,,,NY-S,Second Circuit,1984-07-01,
"Broderick, Raymond J.",Retired,1984-07-01,,,PA-E,Third Circuit,1984-07-01,
"Hannum, John B.",Retired,1984-05-29,"Scirica, Anthony J.",,PA-E,Third Circuit,1984-07-01,6/19/1984
"Butzner, John D.",Retired,1982-11-01,"Wilkinson, III, James H.",,CCA,Fourth Circuit,1984-07-01,1/30/1984
"Cassibry, Fred J.",Retired,1984-03-15,"Livaudais, Jr., Marcel",,LA-E,Fifth Circuit,1984-07-01,6/19/1984
"Fisher, Joe J.",Retired,1984-01-30,,,TX-E,Fifth Circuit,1984-07-01,
"Harvey, James",Retired,1984-03-31,,,MI-E,Sixth Circuit,1984-07-01,
"Flaum, Joel M.",Elevated,1983-05-04,"Rovner, Ilana Diamond",,IL-N,Seventh Circuit,1984-07-01,6/19/1984
"Cordova, Valdemar",Disabled,1984-04-20,,,AZ,Ninth Circuit,1984-07-01,
"Schnacke, Robert H.",Retired,1983-12-31,"Legge, Charles A.",,CA-N,Ninth Circuit,1984-07-01,6/19/1984
"Green, June L.",Retired,1984-01-15,,,DC,District of Columbia Circuit,1984-07-01,
"Boe, Nils A.",Retired,1984-04-30,,,USIT,International Trade,1984-07-01,
"Landis, Frederick",Retired,1983-12-31,,,USIT,International Trade,1984-07-01,
