Vacancy Created By,Reason,Vacancy Date,Nominee,Nomination,Circuit,CT,date
"Spatt, Arthur D.",Senior,2004-12-02,,,NY-E,Second Circuit,2005-04-01
"Orlofsky, Stephen M.",Resigned,2003-08-31,"Sheridan, Peter G.",2005-02-14,NJ,Third Circuit,2005-04-01
"Walls, William H.",Senior,2005-01-31,,,NJ,Third Circuit,2005-04-01
"Phillips, J. Dickson Jr.",Senior,1994-07-31,"Boyle, Terrence W.",2005-02-14,CCA,Fourth Circuit,2005-04-01
PL 107-273,New Position,2003-07-15,"Conrad, Jr., Robert J.",2005-02-14,NC-W,Fourth Circuit,2005-04-01
"Pickering, Charles W. Sr.",Retired,2004-12-08,,,CCA,Fifth Circuit,2005-04-01
"Kennedy, Cornelia",Senior,1999-03-01,"Neilson, Susan Bieke",2005-02-14,CCA,Sixth Circuit,2005-04-01
"Ryan, James L.",Senior,2000-01-01,"Saad, Henry W.",2005-02-14,CCA,Sixth Circuit,2005-04-01
"Suhrheinrich, Richard",Senior,2001-08-15,"McKeague, David W.",2005-02-14,CCA,Sixth Circuit,2005-04-01
"Gadola, Paul V.",Senior,2001-01-31,"Ludington, Thomas L.",2005-02-14,MI-E,Sixth Circuit,2005-04-01
"Zatkoff, Lawrence P.",Senior,2004-06-16,"Cox, Sean F.",2005-02-14,MI-E,Sixth Circuit,2005-04-01
"Nelson, Thomas",Senior,2003-11-14,"Myers III, William Gerry",2005-02-14,CCA,Ninth Circuit,2005-04-01
"Tashima, A. Wallace",Senior,2004-06-30,,,CCA,Ninth Circuit,2005-04-01
"Trott, Stephen S.",Senior,2004-12-31,,,CCA,Ninth Circuit,2005-04-01
"Timlin, Robert J.",Senior,2005-02-01,,,CA-C,Ninth Circuit,2005-04-01
"Wald, Patricia M.",Retired,1999-11-16,"Griffith, Thomas B.",2005-02-14,CCA,District of Columbia Circuit,2005-04-01
"Williams, Stephen F.",Senior,2001-09-30,"Brown, Janice R.",2005-02-14,CCA,District of Columbia Circuit,2005-04-01
