Court,Incumbent,Vacancy Reason,Vacancy Date,Nominee,Nomination Date
01 - MA,"O'Toole Jr.,George A.",Senior,01/01/2018,,
01 - MA,"Woodlock,Douglas P.",Senior,06/01/2015,,
01 - PR,"Garcia-Gregory,Jay A.",Senior,09/30/2018,"Carreño-Coll,Silvia",10/15/2019
02 - CCA,"Jacobs,Dennis",Senior,05/31/2019,"Menashi,Steven J.",09/09/2019
02 - CCA,"Droney,Christopher F.",Senior,06/30/2019,"Nardini,William Joseph",09/19/2019
02 - CT,"Thompson,Alvin W.",Senior,08/31/2018,"Jongbloed,Barbara Bailey",10/15/2019
02 - NY-E,"Bianco,Joseph F.",Elevated,05/08/2019,,
02 - NY-E,"Feuerstein,Sandra J.",Senior,01/21/2015,"Brown,Gary Richard",05/21/2019
02 - NY-E,"Gleeson,John",Resigned,03/09/2016,"Gujarati,Diane",05/21/2019
02 - NY-E,"Vitaliano,Eric N.",Senior,02/28/2017,"Komitee,Eric Ross",05/21/2019
02 - NY-N,"Sharpe,Gary L.",Senior,01/01/2016,,
02 - NY-S,"Pauley III,William H.",Senior,03/01/2018,,
02 - NY-S,"Sullivan,Richard J.",Elevated,10/11/2018,,
02 - NY-S,"Forrest,Katherine B.",Resigned,09/11/2018,,
02 - NY-S,"Castel,P. Kevin",Senior,08/05/2017,"Halpern,Philip M.",01/23/2019
02 - NY-S,"Crotty,Paul A.",Senior,08/01/2015,"Liman,Lewis J.",05/21/2019
02 - NY-S,"Preska,Loretta A.",Senior,03/01/2017,"Vyskocil,Mary Kay",05/21/2019
02 - NY-W,"Skretny,William M.",Senior,03/08/2015,"Sinatra Jr.,John L.",05/21/2019
03 - NJ,"Kugler,Robert B.",Senior,11/02/2018,,
03 - NJ,"Simandle,Jerome B.",Senior,05/31/2017,,
03 - NJ,"Linares,Jose L.",Retired,05/16/2019,,
03 - NJ,"Martini,William J.",Senior,02/10/2015,,
03 - NJ,"Sheridan,Peter G.",Senior,06/14/2018,,
03 - NJ,"Hochberg,Faith S.",Retired,03/06/2015,,
03 - PA-E,"Stengel,Lawrence F.",Retired,08/31/2018,,
03 - PA-E,"Slomsky,Joel H.",Senior,10/09/2018,"Gallagher,John M.",10/15/2019
03 - PA-E,"Davis,Legrome D.",Senior,09/28/2017,"Marston,Karen Spencer",09/09/2019
03 - PA-M,"Kane,Yvette",Senior,10/11/2018,"Wilson,Jennifer Philpott",05/13/2019
03 - PA-W,"Phipps,Peter J.",Elevated,07/16/2019,,
03 - PA-W,"Fischer,Nora Barry",Senior,06/13/2019,,
03 - PA-W,"Schwab,Arthur J.",Senior,01/01/2018,"Colville,Robert John",03/05/2019
