Court,Incumbent,Vacancy Reason,Vacancy Date,Nominee,Nomination Date
08 - CCA,"Riley,William Jay",Senior,06/30/2017,"Grasz,Leonard Steven",08/03/2017
08 - CCA,"Murphy,Diana E.",Senior,11/29/2016,"Stras,David Ryan",05/08/2017
08 - IA-N,"Reade,Linda R.",Senior,10/01/2017,,
08 - MN,"Montgomery,Ann D.",Senior,05/31/2016,,
08 - MN,"Frank,Donovan W.",Senior,10/31/2016,,
08 - MO-E,"Jackson,Carol E.",Retired,08/31/2017,,
08 - ND,"Erickson,Ralph R.",Elevated,09/28/2017,,
09 - AK,"Beistline,Ralph R.",Senior,12/31/2015,,
09 - AZ,"Wake,Neil Vincent",Senior,07/05/2016,,
09 - AZ,"Bolton,Susan R.",Senior,09/01/2016,,
09 - CA-C,"Pregerson,Dean D.",Senior,01/28/2016,,
09 - CA-C,"Collins,Audrey B.",Retired,08/01/2014,,
09 - CA-C,"O'Connell,Beverly Reid",Deceased,10/08/2017,,
09 - CA-C,"King,George H.",Retired,01/06/2017,,
09 - CA-C,"Morrow,Margaret M.",Senior,10/29/2015,,
09 - CA-C,"Snyder,Christina A.",Senior,11/23/2016,,
09 - CA-S,"Huff,Marilyn L.",Senior,09/30/2016,,
09 - CCA,"Silverman,Barry G.",Senior,10/11/2016,,
09 - CCA,"Pregerson,Harry",Senior,12/11/2015,,
09 - CCA,"Clifton,Richard R.",Senior,12/31/2016,,
09 - CCA,"O'Scannlain,Diarmuid F.",Senior,12/31/2016,"Bounds,Ryan Wesley",09/07/2017
09 - HI,"Mollway,Susan Oki",Senior,11/06/2015,,
09 - NV,"Jones,Robert Clive",Senior,02/01/2016,,
09 - OR,"Brown,Anna J.",Senior,07/27/2017,,
09 - WA-W,"Lasnik,Robert S.",Senior,01/27/2016,,
09 - WA-W,"Pechman,Marsha J.",Senior,02/06/2016,,
09 - WA-W,"Robart,James L.",Senior,06/28/2016,,
10 - CO,"Blackburn,Robert E.",Senior,04/12/2016,"Domenico,Daniel Desmond",10/02/2017
10 - KS,"Marten,John Thomas",Senior,05/01/2017,"Broomes,John Wesley",09/07/2017
10 - KS,"Vratil,Kathryn H.",Senior,04/22/2014,"Teeter,Holly Lou",08/03/2017
10 - OK-E,"Payne,James H.",Senior,08/01/2017,,
10 - OK-W,"Russell,David L.",Senior,07/07/2013,,
10 - OK-W,"Cauthron,Robin J.",Senior,07/14/2015,"Goodwin,Charles Barnes",07/13/2017
10 - UT,"Stewart,Brian T.",Senior,09/01/2014,"Nielson Jr.,Howard C.",09/28/2017
11 - AL-M,"Thompson,Myron H.",Senior,08/22/2013,"Marks,Emily Coody",09/07/2017
11 - AL-M,"Fuller,Mark E.",Resigned,08/01/2015,"Talley,Brett Joseph",09/07/2017
11 - AL-N,"Blackburn,Sharon Lovelace",Senior,05/08/2015,"Axon,Annemarie Carney",07/19/2017
11 - AL-N,"Smith Jr.,C. Lynwood",Senior,08/31/2013,"Burke,Liles Clifton",07/19/2017
11 - AL-S,"Granade,Callie V.S.",Senior,03/07/2016,"Beaverstock,Jeffrey Uhlman",09/07/2017
11 - AL-S,"Steele,William H.",Senior,06/08/2017,"Moorer,Terry Fitzgerald",09/07/2017
11 - FL-M,"Conway,Anne C.",Senior,08/01/2015,,
11 - FL-M,"Steele,John E.",Senior,06/03/2015,,
11 - FL-M,"Whittemore,James D.",Senior,08/29/2017,,
11 - FL-N,"Smoak,Richard",Senior,12/31/2015,,
11 - FL-N,"Hinkle,Robert L.",Senior,11/07/2016,,
11 - FL-S,"Zloch,William J.",Senior,01/31/2017,,
11 - FL-S,"Lenard,Joan A.",Senior,07/01/2017,,
11 - FL-S,"Cohn,James I.",Senior,08/05/2016,,
11 - FL-S,"Marra,Kenneth A.",Senior,08/01/2017,,
11 - FL-S,"Rosenbaum,Robin S.",Elevated,05/12/2014,,
11 - GA-M,"Royal,Charles Ashley",Senior,09/01/2016,"Self III,Tilman Eugene",07/13/2017
11 - GA-N,"Carnes,Julie E.",Elevated,07/21/2014,"Brown,Michael Lawrence",07/13/2017
11 - GA-N,"Murphy,Harold L.",Senior,03/31/2017,"Ray II,William M.",07/13/2017
11 - GA-S,"Moore Jr.,William T.",Senior,02/28/2017,"Baker,R. Stan",09/07/2017
CL,"Block,Lawrence J.",Retired,01/08/2016,,
CL,"Hewitt,Emily C.",Retired,10/21/2013,,
CL,"Damich,Edward J.",Senior,10/21/2013,,
CL,"Firestone,Nancy B.",Senior,10/21/2013,"Holte,Ryan T.",09/28/2017
CL,"Miller,George W.",Retired,08/06/2013,"Schiff,Damien Michael",05/08/2017
CL,"Bush,Lynn J.",Senior,10/21/2013,"Schwartz,Stephen S.",06/07/2017
DC - DC,"Roberts,Richard W.",Senior,03/16/2016,"Petersen,Matthew Spencer",09/11/2017
IT,"Pogue,Donald C.",Senior,07/01/2014,,
IT,"Eaton,Richard K.",Senior,08/22/2014,,
