Vacancy Created By,Reason,Vacancy Date,Nominee,Nomination,Circuit,CT,date
"Van Antwerpen, Franklin S.",Senior,2006-10-23,"Diamond, Paul S.",2008-07-24,CCA,Third Circuit,2008-08-01
"Kauffman, Bruce W.",Senior,2008-02-11,"Jones II, C. Darnell",2008-07-24,PA-E,Third Circuit,2008-08-01
"Padova, John R.",Senior,2008-02-11,"Goldberg, Mitchell S.",2008-07-24,PA-E,Third Circuit,2008-08-01
"Phillips, J. Dickson, Jr.",Senior,1994-07-31,"Conrad, Robert J., Jr.",2007-07-17,CCA,Fourth Circuit,2008-08-01
"Widener, H. Emory, Jr.",Deceased,2007-09-19,"Conrad, Glen E.",2008-05-08,CCA,Fourth Circuit,2008-08-01
"Wilkins, William W.",Senior,2007-07-01,"Matthews, Steve A.",2007-09-06,CCA,Fourth Circuit,2008-08-01
"Payne, Robert E.",Senior,2007-05-07,"Novak, David J.",2007-11-15,VA-E,Fourth Circuit,2008-08-01
"Figa, Phillip S.",Deceased,2008-01-05,"Goldberg, Gregory E.",2008-07-10,CO,Tenth Circuit,2008-08-01
"Miller, Walker D.",Senior,2008-03-31,"Arguello, Christine M.",2008-07-10,CO,Tenth Circuit,2008-08-01
"Kessler, Gladys",Senior,2007-01-22,"O'Neill, Michael",2008-06-19,DC,District of Columbia Circuit,2008-08-01
