Vacancy Created By,Reason,Vacancy Date,Nominee,Nomination,Circuit,CT,date,Nomination Date
"Pesquera, Hernan",Deceased,1982-09-08,,,PR,First Circuit,1983-05-01,
"Clarie, T. Emmet",Retired,1983-01-01,,,CT,Second Circuit,1983-05-01,
"Pratt, George C.",Elevated,1982-06-21,,,NY-E,Second Circuit,1983-05-01,
"MacMahon, Lloyd",Retired,1982-05-31,,,NY-S,Second Circuit,1983-05-01,
"Meanor, H. Curtis",Resigned,1983-02-07,,,NJ,Third Circuit,1983-05-01,
"Becker, Edward",Elevated,1982-01-22,,,PA-E,Third Circuit,1983-05-01,
"Lord, Joseph",Retired,1982-07-01,,,PA-E,Third Circuit,1983-05-01,
"Troutman, E. Mac",Retired,1982-09-01,,,PA-E,Third Circuit,1983-05-01,
"Butzner, John D.",Retired,1982-11-01,,,CCA,Fourth Circuit,1983-05-01,
"Jones, Shirley",Resigned,1982-12-31,,,MD,Fourth Circuit,1983-05-01,
"Knapp, Dennis R.",Retired,1983-02-25,,,WV-S,Fourth Circuit,1983-05-01,
"Ainsworth, Robert",Deceased,1981-12-22,,,CCA,Fifth Circuit,1983-05-01,
"Gordon, Jack",Deceased,1982-03-04,,,LA-E,Fifth Circuit,1983-05-01,
"Keady, William",Retired,1983-04-26,,,MS-N,Fifth Circuit,1983-05-01,
"Seals, Woodrow",Retired,1982-12-25,"Hinojosa, Ricardo H.",,TX-S,Fifth Circuit,1983-05-01,4/12/1983
"Boyle, Patricia",Resigned,1983-04-20,,,MI-E,Sixth Circuit,1983-05-01,
"Neese, C.G.",Retired,1982-08-31,"Milburn, H. Ted",,TN-E,Sixth Circuit,1983-05-01,4/14/1983
"Wilson, Frank",Deceased,1982-09-29,,,TN-E,Sixth Circuit,1983-05-01,
"Wellford, Harry W.",Elevated,1982-08-20,"Gibbons, Julia Smith",,TN-W,Sixth Circuit,1983-05-01,4/12/1983
"Sprecher, Robert",Deceased,1982-05-15,"Flaum, Joel M.",,CCA,Seventh Circuit,1983-05-01,4/14/1983
"Gordon, Myron",Retired,1983-02-21,,,WI-E,Seventh Circuit,1983-05-01,
"Henley, J. Smith",Retired,1982-05-31,,,CCA,Eighth Circuit,1983-05-01,
"Weigel, Stanley",Retired,1982-10-09,"Vukasin, Jr., John P.",,CA-N,Ninth Circuit,1983-05-01,1/31/1983
"Wilkins, Philip",Retired,1983-01-27,,,CA-E,Ninth Circuit,1983-05-01,
"Hauk, A. Andrew",Retired,1982-09-29,,,CA-C,Ninth Circuit,1983-05-01,
"Kelleher, Robert",Retired,1983-03-05,,,CA-C,Ninth Circuit,1983-05-01,
"Foley, Roger",Retired,1982-10-29,,,NV,Ninth Circuit,1983-05-01,
"Mechem, Edward",Retired,1982-07-03,,,NM,Tenth Circuit,1983-05-01,
"Higby, Lynn",Resigned,1983-01-03,,,FL-N,Eleventh Circuit,1983-05-01,
"Krentzman, Ben",Retired,1982-11-15,,,FL-M,Eleventh Circuit,1983-05-01,
"Atkins, C. Clyde",Retired,1982-12-31,,,FL-S,Eleventh Circuit,1983-05-01,
"Smith, John Lewis",Retired,1983-01-31,,,DC,District of Columbia Circuit,1983-05-01,
"Kunzi, Robert",Deceased,1982-02-21,,,CCA,Federal Circuit,1983-05-01,
"Maletz, Herbert",Retired,1982-12-31,,,USIT,International Trade,1983-05-01,
