Vacancy Created By,Reason,Vacancy Date,Nominee,Nomination,Circuit,CT,date,Nomination Date
"Lasker, Morris E.",Retired,1983-10-03,,,NY-S,Second Circuit,1983-11-01,
"Pollack, Milton",Retired,1983-09-29,,,NY-S,Second Circuit,1983-11-01,
"Butzner, John D.",Retired,1982-11-01,,,CCA,Fourth Circuit,1983-11-01,
"Jones, Shirley",Resigned,1982-12-31,,,MD,Fourth Circuit,1983-11-01,
"Knapp, Dennis R.",Retired,1983-02-25,,,WV-S,Fourth Circuit,1983-11-01,
"Ainsworth, Robert",Deceased,1981-12-22,"Davis, W. Eugene",,CCA,Fifth Circuit,1983-11-01,11/1/1983
"Keady, William",Retired,1983-04-26,,,MS-N,Fifth Circuit,1983-11-01,
"Russell, Dan M.",Retired,1983-10-25,,,MS-S,Fifth Circuit,1983-11-01,
"Boyle, Patricia",Resigned,1983-04-20,"Woods, George E.",,MI-E,Sixth Circuit,1983-11-01,11/1/1983
"Wilson, Frank",Deceased,1982-09-29,"Hull, Thomas G.",,TN-E,Sixth Circuit,1983-11-01,10/24/1983
"Flaum, Joel M.",Elevated,1983-05-04,,,IL-N,Seventh Circuit,1983-11-01,
"Holder, Cale",Deceased,1983-08-23,,,IN-S,Seventh Circuit,1983-11-01,
"Gordon, Myron",Retired,1983-02-21,"Curran, Thomas J.",,WI-E,Seventh Circuit,1983-11-01,9/20/1983
"Wright, Eugene",Retired,1983-09-15,,,CCA,Ninth Circuit,1983-11-01,
"Wilkins, Philip",Retired,1983-01-27,,,CA-E,Ninth Circuit,1983-11-01,
"Hauk, A. Andrew",Retired,1982-09-29,,,CA-C,Ninth Circuit,1983-11-01,
"Kelleher, Robert",Retired,1983-03-05,,,CA-C,Ninth Circuit,1983-11-01,
"Foley, Roger",Retired,1982-10-29,,,NV,Ninth Circuit,1983-11-01,
"Krentzman, Ben",Retired,1982-11-15,"Sharp, G. Kendall",,FL-M,Eleventh Circuit,1983-11-01,11/1/1983
"Atkins, C. Clyde",Retired,1982-12-31,"Nesbitt, Lenore Carrero",,FL-S,Eleventh Circuit,1983-11-01,10/31/1983
"Smith, John Lewis",Retired,1983-01-31,"Harris, Stanley S.",,DC,District of Columbia Circuit,1983-11-01,11/1/1983
"Kunzi, Robert",Deceased,1982-02-21,,,CCA,Federal Circuit,1983-11-01,
"Nichol, Philip",Retired,1983-10-01,,,CCA,Federal Circuit,1983-11-01,
"Maletz, Herbert",Retired,1982-12-31,,,USIT,International Trade,1983-11-01,
