Vacancy Created By,Reason,Vacancy Date,Nominee,Nomination,Circuit,CT,date
"Lagueux, Ronald R.",Senior,2001-11-30,Smith. William E.,2002-07-18,RI,First Circuit,2002-08-01
"Kearse, Amalya L.",Senior,2002-06-11,"Raggi, Reena",2002-05-01,CCA,Second Circuit,2002-08-01
"Irenas, Joseph E.",Disabled,2002-07-01,"Kugler, Robert B.",2002-08-01,NY-E,Second Circuit,2002-08-01
"Platt, Thomas C.",Senior,2001-02-01,"Feuerstein, Sandra J.",2002-07-25,NY-E,Second Circuit,2002-08-01
"McKenna, Lawrence",Senior,2002-05-24,,,NY-S,Second Circuit,2002-08-01
"Parker, Barrington D. Jr.",Elevated,2001-10-11,"Holwell, Richard J.",2002-08-01,NY-S,Second Circuit,2002-08-01
"Greenberg, Morton I.",Senior,2000-06-30,,,CCA,Third Circuit,2002-08-01
"Mansmann, Carol Los",Deceased,2002-03-09,,,CCA,Third Circuit,2002-08-01
"McKelvie, Roderick R.",Resigned,2002-06-28,"Jordan, Kent A.",2002-07-25,DE,Third Circuit,2002-08-01
"Lechner, Alfred J. Jr",Resigned,2001-10-01,"Linares, Jose L.",2002-08-01,NJ,Third Circuit,2002-08-01
"Lifland, John C.",Senior,2001-06-15,"Martini, William J.",2002-01-23,NJ,Third Circuit,2002-08-01
"Politan, Nicholas H.",Retired,2002-01-04,"Wolfson, Freda L.",2002-08-01,NJ,Third Circuit,2002-08-01
"Thompson, Anne E.",Senior,2001-06-01,"Chesler, Stanley R.",2002-01-23,NJ,Third Circuit,2002-08-01
"DuBois, Jan E.",Senior,2002-04-15,"Gardner, James Knoll",2002-04-22,PA-E,Third Circuit,2002-08-01
"Cohill, Maurice B. Jr.",Senior,1994-11-28,"Schwab, Arthur J.",2002-01-23,PA-W,Third Circuit,2002-08-01
"Smith, D. Brooks",Elevated,2002-07-31,,,PA-W,Third Circuit,2002-08-01
"Standish, William L.",Senior,2002-03-01,,,PA-W,Third Circuit,2002-08-01
"Ziegler, Donald E.",Senior,2001-10-01,"McVerry, Terrence F.",2002-01-23,PA-W,Third Circuit,2002-08-01
"Ervin, Sam J. III",Deceased,1999-09-18,,,CCA,Fourth Circuit,2002-08-01
"Hamilton, Clyde H.",Senior,1999-11-30,"Shedd, Dennis W.",2001-09-04,CCA,Fourth Circuit,2002-08-01
"Murnaghan, Francis",Deceased,2000-08-31,,,CCA,Fourth Circuit,2002-08-01
"Phillips, J. Dickson Jr.",Senior,1994-07-31,"Boyle, Terrence W.",2001-09-04,CCA,Fourth Circuit,2002-08-01
"Nickerson, William M.",Senior,2002-06-11,,,MD,Fourth Circuit,2002-08-01
"Britt, W. Earl",Senior,1997-12-07,"Dever, James C. III",2002-05-22,NC-E,Fourth Circuit,2002-08-01
"Fox, James C.",Senior,2001-01-31,,,NC-E,Fourth Circuit,2002-08-01
"Garwood, William L.",Senior,1997-01-23,"Owen, Priscilla Richman",2001-09-04,CCA,Fifth Circuit,2002-08-01
"Politz, Henry A.",Senior,1999-08-10,"Pickering, Charles W. Sr.",2001-09-04,CCA,Fifth Circuit,2002-08-01
"Little, F.A. Jr",Senior,2002-05-30,,,LA-W,Fifth Circuit,2002-08-01
