Vacancy Created By,Reason,Vacancy Date,Nominee,Nomination,Circuit,CT,date
"Walter, Donald E.",Senior,2001-11-30,,,LA-W,Fifth Circuit,2002-08-01
"Kendall, Joe",Resigned,2002-01-22,"Kinkeade, James E.",2002-07-18,TX-N,Fifth Circuit,2002-08-01
"Cobb, Howell",Senior,2001-03-01,"Clark, Ronald H.",2002-01-23,TX-E,Fifth Circuit,2002-08-01
"Garcia, Hipolito F.",Senior,2002-01-15,"Junell, Robert A.",2002-07-18,TX-W,Fifth Circuit,2002-08-01
"Hudspeth, Harry",Senior,2001-06-30,"Ludlum, Alia M.",2002-07-11,TX-W,Fifth Circuit,2002-08-01
"Keith, Damon",Senior,1995-05-01,"Griffin, Richard A.",2002-06-26,CCA,Sixth Circuit,2002-08-01
"Kennedy, Cornelia",Senior,1999-03-01,"Neilson, Susan Bieke",2001-11-08,CCA,Sixth Circuit,2002-08-01
"Nelson, David A.",Senior,1999-10-01,"Sutton, Jeffrey S.",2001-09-04,CCA,Sixth Circuit,2002-08-01
"Norris, Alan E.",Senior,2001-07-01,"Cook, Deborah L.",2001-09-04,CCA,Sixth Circuit,2002-08-01
"Ryan, James L.",Senior,2000-01-01,"Saad, Henry W.",2001-11-08,CCA,Sixth Circuit,2002-08-01
"Siler, Eugene E. Jr",Senior,2001-12-31,"Rogers, John M.",2001-12-19,CCA,Sixth Circuit,2002-08-01
"Suhrheinrich, Richard F.",Senior,2001-08-15,"McKeague, David W.",2001-11-08,CCA,Sixth Circuit,2002-08-01
"Duggan, Patrick J.",Senior,2000-09-29,,,MI-E,Sixth Circuit,2002-08-01
"Gadola, Paul V.",Senior,2001-01-31,,,MI-E,Sixth Circuit,2002-08-01
"White, George W.",Retired,1999-02-26,,,OH-N,Sixth Circuit,2002-08-01
"Smith, George C.",Senior,2002-01-01,"Frost, Gregory L.",2002-08-01,OH-S,Sixth Circuit,2002-08-01
"Jarvis, James H.",Senior,2002-02-28,"Phillips, Thomas W.",2002-06-26,TN-E,Sixth Circuit,2002-08-01
"Jordan, Robert Leon",Senior,2001-11-30,,,TN-E,Sixth Circuit,2002-08-01
"Gibbons, Julia Smith",Elevated,2002-07-29,,,TN-W,Sixth Circuit,2002-08-01
"Aspen, Marvin E.",Senior,2002-07-01,,,IL-N,Seventh Circuit,2002-08-01
"Leinenweber, Harry D.",Senior,2002-06-03,,,IL-N,Seventh Circuit,2002-08-01
"Melloy, Michael J.",Elevated,2002-02-11,"Reade, Linda R.",2002-06-26,IA-N,Eighth Circuit,2002-08-01
"Conmy, Patrick",Senior,2000-01-05,"Hovland, Daniel L.",2002-06-26,ND,Eighth Circuit,2002-08-01
"Webb, Rodney S.",Senior,2001-12-31,,,ND,Eighth Circuit,2002-08-01
"Browning, James R",Senior,2000-09-01,"Kuhl, Carolyn B.",2001-09-04,CCA,Ninth Circuit,2002-08-01
"Fernandez, Ferdinand",Senior,2002-06-01,,,CCA,Ninth Circuit,2002-08-01
"Hug, Proctor Jr.",Senior,2002-01-01,"Bybee, Jay S.",2002-05-22,CCA,Ninth Circuit,2002-08-01
"Wiggins, Charles E.",Senior,1996-12-31,,,CCA,Ninth Circuit,2002-08-01
"Legge, Charles A.",Retired,2001-06-30,"White, Jeffrey S.",2002-07-25,CA-N,Ninth Circuit,2002-08-01
"Keller, William",Senior,1999-10-29,"Klausner, Robert G.",2002-07-18,CA-C,Ninth Circuit,2002-08-01
"Letts, J. Spencer",Senior,2000-12-19,,,CA-C,Ninth Circuit,2002-08-01
"Moreno, Carlos R.",Resigned,2001-10-18,,,CA-C,Ninth Circuit,2002-08-01
"Paez, Richard A.",Elevated,2000-03-09,"Otero, S. James",2002-07-18,CA-C,Ninth Circuit,2002-08-01
"Kay, Alan C.",Senior,2000-01-01,"Rohlfing, Frederick W.",2002-01-23,HI,Ninth Circuit,2002-08-01
"Jones, Robert E.",Senior,2000-05-01,,,OR,Ninth Circuit,2002-08-01
"Bryan, Robert J.",Senior,2000-11-01,"Leighton, Ronald B.",2002-01-23,WA-W,Ninth Circuit,2002-08-01
"Anderson, Stephen H.",Senior,2000-01-01,"McConnell, Michael W.",2001-09-04,CCA,Tenth Circuit,2002-08-01
"Porfilio, John C.",Senior,1999-10-15,"Tymkovich, Timothy M.",2001-09-04,CCA,Tenth Circuit,2002-08-01
"Cox, Emmett Ripley",Senior,2000-12-18,"Steele, William H.",2001-10-09,CCA,Eleventh Circuit,2002-08-01
"Buttram, H. Dean Jr",Resigned,2002-06-30,,,AL-N,Eleventh Circuit,2002-08-01
"De Ment, Ira",Senior,2002-04-15,"Fuller, Mark E.",2002-08-01,AL-M,Eleventh Circuit,2002-08-01
"Vollmer, Richard W., Jr",Senior,2000-12-31,,,AL-S,Eleventh Circuit,2002-08-01
PL 106-113,New Position,1999-11-29,"Corrigan, Timothy J.",2002-05-22,FL-M,Eleventh Circuit,2002-08-01
"Davis, Edward",Senior,2000-07-01,"Martinez, Jose E.",2002-01-23,FL-S,Eleventh Circuit,2002-08-01
"Highsmith, Shelby",Senior,2002-03-15,,,FL-S,Eleventh Circuit,2002-08-01
PL 106-553,New Position,2000-12-21,"Marra, Kenneth A.",2002-01-23,FL-S,Eleventh Circuit,2002-08-01
"Buckley, James L.",Senior,1996-08-31,"Roberts, John G. Jr.",2001-09-04,CCA,District of Columbia Circuit,2002-08-01
"Silberman, Laurence H.",Senior,2000-11-01,,,CCA,District of Columbia Circuit,2002-08-01
"Wald, Patricia M.",Retired,1999-11-16,"Estrada, Miguel A.",2001-09-04,CCA,District of Columbia Circuit,2002-08-01
"Williams, Stephen F.",Senior,2001-09-30,,,CCA,District of Columbia Circuit,2002-08-01
"Jackson, Thomas P",Senior,2002-01-31,"Collyer, Rosemary M.",2002-08-01,DC,District of Columbia Circuit,2002-08-01
"Goldberg, Richard",Senior,2001-04-02,"Stanceu, Timothy C.",2001-12-19,USIT,International Trade,2002-08-01
