Court,Incumbent,Vacancy Reason,Vacancy Date,Nominee,Nomination Date
01 - MA,"Zobel,Rya W.",Senior,04/01/2014,"Burroughs,Allison Dale",07/31/2014
02 - CT,"Arterton,Janet Bond",Senior,07/01/2014,"Bolden,Victor Allen",06/16/2014
02 - NYE,"Garaufis,Nicholas G.",Senior,10/01/2014,,
02 - NYE,"Seybert,Joanna",Senior,01/13/2014,"Azrack,Joan Marie",09/18/2014
02 - NYN,"Mordue,Norman A.",Senior,06/30/2013,"Sannes,Brenda K.",05/08/2014
03 - CCA,"Scirica,Anthony J.",Senior,07/01/2013,,
03 - NJ,"Cavanaugh,Dennis M.",Retired,01/31/2014,"Arleo,Madeline Cox",06/26/2014
03 - PAE,"McLaughlin,Mary A.",Senior,11/18/2013,,
03 - PAE,"Baylson,Michael M.",Senior,07/13/2012,"Beetlestone,Wendy",06/16/2014
03 - PAE,"Joyner,J. Curtis",Senior,05/01/2013,"Kearney,Mark A.",06/16/2014
03 - PAE,"Robreno,Eduardo C.",Senior,09/01/2013,"Leeson Jr.,Joseph F.",06/16/2014
03 - PAE,"Dalzell,Stewart",Senior,10/31/2013,"Pappert,Gerald J.",06/16/2014
03 - PAW,"Lancaster,Gary L.",Deceased,04/24/2013,,
03 - PAW,"McLaughlin,Sean J.",Resigned,08/16/2013,,
03 - PAW,"McVerry,Terrence F.",Senior,09/30/2013,,
04 - NCE,"Howard,Malcolm J.",Senior,12/31/2005,"May-Parker,Jennifer Prescod",01/06/2014
04 - NCM,"Beaty Jr.,James A.",Senior,06/30/2014,"Biggs,Loretta Copeland",09/18/2014
04 - SC,"Currie,Cameron McGowan",Senior,10/03/2013,,
04 - VAW,"Wilson,Samuel Grayson",Retired,07/31/2014,"Dillon,Elizabeth K.",09/18/2014
05 - CCA,"King,Carolyn Dineen",Senior,12/31/2013,,
05 - CCA,"Garza,Emilio M.",Senior,08/01/2012,,
05 - TXE,"Ward,T. John",Retired,10/01/2011,"Mazzant III,Amos Louis",06/26/2014
05 - TXE,"Folsom,David",Retired,03/17/2012,"Schroeder III,Robert William",06/26/2014
05 - TXN,"Means,Terry",Senior,07/03/2013,,
05 - TXS,"Jack,Janis Graham",Senior,06/01/2011,,
05 - TXS,"Costa,Gregg Jeffrey",Elevated,05/20/2014,,
05 - TXS,"Hoyt,Kenneth M.",Senior,03/02/2013,"Bennett,Alfred H.",09/18/2014
05 - TXS,"Atlas,Nancy F.",Senior,06/20/2014,"Hanks Jr.,George C.",09/18/2014
05 - TXS,"Tagle,Hilda G.",Senior,12/31/2012,"Olvera Jr.,Jose Rolando",09/18/2014
05 - TXW,"Furgeson Jr.,W. Royal",Senior,11/30/2008,"Pitman,Robert Lee",06/26/2014
06 - CCA,"Martin Jr.,Boyce F.",Retired,08/16/2013,,
06 - KYE,"Coffman,Jennifer B.",Retired,01/08/2013,,
06 - KYW,"Heyburn II,John G.",Senior,04/01/2014,,
06 - KYW,"Simpson III,Charles R.",Senior,02/01/2013,"Hale,David J.",06/19/2014
06 - KYW,"Russell,Thomas B.",Senior,11/15/2011,"Stivers,Gregory N.",06/19/2014
07 - CCA,"Evans,Terence T.",Senior,01/07/2010,,
07 - ILN,"Holderman Jr.,James F.",Senior,12/31/2013,"Blakey,John Robert",08/05/2014
07 - INS,"Barker,Sarah Evans",Senior,06/30/2014,,
07 - WIE,"Clevert Jr.,Charles N.",Senior,10/31/2012,"Pepper,Pamela",05/01/2014
08 - MOW,"Gaitan Jr.,Fernando J.",Senior,01/03/2014,"Bough,Stephen R.",01/16/2014
09 - CAC,"Collins,Audrey B.",Retired,08/01/2014,,
09 - CAE,"Ishii,Anthony W.",Senior,10/31/2012,,
10 - KS,"Vratil,Kathryn H.",Senior,04/22/2014,,
10 - OKW,"Russell,David L.",Senior,07/07/2013,,
10 - UT,"Stewart,Brian T.",Senior,09/01/2014,,
10 - UT,"Benson,Dee V.",Senior,01/01/2014,"Parrish,Jill N.",09/18/2014
11 - ALM,"Thompson,Myron H.",Senior,08/22/2013,,
11 - ALN,"Smith Jr.,C. Lynwood",Senior,08/31/2013,,
11 - CCA,"Dubina,Joel F.",Senior,10/26/2013,,
11 - FLS,"Rosenbaum,Robin S.",Elevated,05/12/2014,,
11 - GAM,"Sands,W. Louis",Senior,04/12/2014,"Abrams,Leslie Joyce",03/11/2014
11 - GAN,"Carnes,Julie E.",Elevated,07/21/2014,"Boggs,Michael P.",01/06/2014
11 - GAN,"Cooper,Clarence",Senior,02/09/2009,"Cohen,Mark Howard",01/06/2014
11 - GAN,"Martin,Beverly B.",Elevated,01/20/2010,"May,Leigh Martin",01/06/2014
11 - GAN,"Pannell Jr.,Charles A.",Senior,01/31/2013,"Ross,Eleanor Louise",01/06/2014
DC - DC,"Huvelle,Ellen Segal",Senior,06/03/2014,"Mehta,Amit Priyavadan",07/31/2014
DC - DC,"Wilkins,Robert L.",Elevated,01/14/2014,"Moss,Randolph D.",04/03/2014
FD - CCA,"Rader,Randall R.",Retired,06/30/2014,,
IT,"Eaton,Richard K.",Senior,08/22/2014,,
IT,"Carman,Gregory W.",Senior,09/15/2014,,
IT,"Pogue,Donald C.",Senior,07/01/2014,"Davidson,Jeanne E.",09/08/2014
Total Vacancies: 61,Total Vacancies: 61,Total Vacancies: 61,Total Vacancies: 61,Total Vacancies: 61,Total Vacancies: 61
Total Nominees Pending: 32,Total Nominees Pending: 32,Total Nominees Pending: 32,Total Nominees Pending: 32,Total Nominees Pending: 32,Total Nominees Pending: 32
