Vacancy Created By,Reason,Vacancy Date,Nominee,Nomination,Circuit,CT,date,Nomination Date
PL 95-486,New Position,1978-11-08,,,PR,First Circuit,1982-06-01,
"Toledo, Jose",Deceased,1980-02-03,,,PR,First Circuit,1982-06-01,
"Timbers, William",Retired,1981-07-10,"Pratt, George C.",,CCA,Second Circuit,1982-06-01,4/27/1982
"Neaher, Edward",Retired,1982-05-28,,,NY-E,Second Circuit,1982-06-01,
"MacMahon, Lloyd",Retired,1982-05-31,,,NY-S,Second Circuit,1982-06-01,
"Pierce, Lawrence W.",Elevated,1981-11-30,,,NY-S,Second Circuit,1982-06-01,
"Biunno, Vincent",Retired,1982-03-23,,,NJ,Third Circuit,1982-06-01,
"Becker, Edward",Elevated,1982-01-22,,,PA-E,Third Circuit,1982-06-01,
PL 95-486,New Position,1978-11-08,,,NC-E,Fourth Circuit,1982-06-01,
"Ainsworth, Robert",Deceased,1981-12-22,,,CCA,Fifth Circuit,1982-06-01,
"Coleman, James",Retired,1981-05-30,,,CCA,Fifth Circuit,1982-06-01,
"Boyle, Ed",Retired,1981-12-01,"McNamara, A.J.",,LA-E,Fifth Circuit,1982-06-01,5/5/1982
"Gordon, Jack",Deceased,1982-03-04,,,LA-E,Fifth Circuit,1982-06-01,
"Mitchell, Lansing",Retired,1981-11-03,,,LA-E,Fifth Circuit,1982-06-01,
"Contie, Jr., Leroy J.",Elevated,1982-03-23,,,OH-N,Sixth Circuit,1982-06-01,
"Krupansky, Robert B.",Elevated,1982-03-19,,,OH-N,Sixth Circuit,1982-06-01,
"Thomas, William",Retired,1981-02-15,"Potter, John W.",,OH-N,Sixth Circuit,1982-06-01,5/5/1982
"Sprecher, Robert",Deceased,1982-05-15,,,CCA,Seventh Circuit,1982-06-01,
"Parsons, James B.",Retired,1981-08-30,,,IL-N,Seventh Circuit,1982-06-01,
"Morgan, Robert D.",Retired,1982-05-27,,,IL-C,Seventh Circuit,1982-06-01,
"Henley, J. Smith",Retired,1982-05-31,,,CCA,Eighth Circuit,1982-06-01,
"Stephenson, Roy",Retired,1982-04-01,,,CCA,Eighth Circuit,1982-06-01,
"Gibson, John R.",Elevated,1982-03-30,,,MO-W,Eighth Circuit,1982-06-01,
"Gray, William P.",Retired,1982-03-26,,,CA-C,Ninth Circuit,1982-06-01,
"Hill, Irving",Retired,1980-10-15,,,CA-C,Ninth Circuit,1982-06-01,
"Williams, David",Retired,1981-01-17,,,CA-C,Ninth Circuit,1982-06-01,
"Schwartz, Edward J.",Retired,1982-03-26,,,CA-S,Ninth Circuit,1982-06-01,
"Heen, Walter",Terminated,1981-12-16,"Fong, Harold M.",,HI,Ninth Circuit,1982-06-01,2/11/1982
"Winner, Fred",Retired,1982-04-08,"Moore, John P.",,CO,Tenth Circuit,1982-06-01,5/18/1982
"McFadden, Frank",Resigned,1982-01-01,,,AL-N,Eleventh Circuit,1982-06-01,
"Arnow, Winston",Retired,1981-03-14,"Paul, Maurice M.",,FL-N,Eleventh Circuit,1982-06-01,4/27/1982
"Robb, Roger",Retired,1982-05-31,,,CCA,District of Columbia Circuit,1982-06-01,
"Bryant, William",Retired,1982-01-31,,,DC,District of Columbia Circuit,1982-06-01,
"Gasch, Oliver",Retired,1981-11-30,"Jackson, Thomas Penfiel",,DC,District of Columbia Circuit,1982-06-01,5/24/1982
"Kunzi, Robert",Deceased,1982-02-21,,,CCA,Federal Circuit,1982-06-01,
"Richardson, Skovil",Deceased,1982-03-30,,,USIT,International Trade,1982-06-01,
