Vacancy Created By,Reason,Vacancy Date,Nominee,Nomination,Circuit,CT,date
"Phillips, J. Dickson Jr.",Senior,1994-07-31,"Boyle, Terrence W.",2003-01-07,CCA,Fourth Circuit,2004-12-01
"Kennedy, Cornelia",Senior,1999-03-01,"Neilson, Susan Bieke",2003-01-07,CCA,Sixth Circuit,2004-12-01
"Ryan, James L.",Senior,2000-01-01,"Saad, Henry W.",2003-01-07,CCA,Sixth Circuit,2004-12-01
"Suhrheinrich, Richard F.",Senior,2001-08-15,"McKeague, David W.",2003-01-07,CCA,Sixth Circuit,2004-12-01
"Gadola, Paul V.",Senior,2001-01-31,"Ludington, Thomas L.",2003-01-07,MI-E,Sixth Circuit,2004-12-01
"Zatkoff, Lawrence P.",Senior,2004-06-16,"Cox, Sean F.",2004-09-10,MI-E,Sixth Circuit,2004-12-01
"Nelson, Thomas",Senior,2003-11-14,"Myers, William III",2003-05-15,CCA,Ninth Circuit,2004-12-01
"Tashima, A. Wallace",Senior,2004-06-30,,,CCA,Ninth Circuit,2004-12-01
"Wald, Patricia M.",Retired,1999-11-16,"Griffith, Thomas B.",2004-05-10,CCA,District of Columbia Circuit,2004-12-01
"Williams, Stephen F.",Senior,2001-09-30,"Brown, Janice R.",2003-07-25,CCA,District of Columbia Circuit,2004-12-01
