Vacancy Created By,Reason,Vacancy Date,Nominee,Nomination,Circuit,CT,date
"Stahl, Norman H.",Senior,2001-04-16,"Howard, Jeffrey R.",2001-09-04,CCA,First Circuit,2002-01-02
"Lagueux, Ronald R.",Senior,2001-11-30,,,RI,First Circuit,2002-01-02
"Platt, Thomas C.",Senior,2001-02-01,,,NY-E,Second Circuit,2002-01-02
"Parker, Barrington D. Jr.",Elevated,2001-10-11,,,NY-S,Second Circuit,2002-01-02
"Greenberg, Morton I.",Senior,2000-06-30,,,CCA,Third Circuit,2002-01-02
"Lewis, Timothy",Resigned,1999-06-30,"Smith, D. Brooks",2001-09-10,CCA,Third Circuit,2002-01-02
"Lechner, Alfred J. Jr",Resigned,2001-10-01,,,NJ,Third Circuit,2002-01-02
"Lifland, John C.",Senior,2001-06-15,,,NJ,Third Circuit,2002-01-02
"Thompson, Anne E.",Senior,2001-06-01,,,NJ,Third Circuit,2002-01-02
"Cahn, Edward N.",Retired,1998-12-31,,,PA-E,Third Circuit,2002-01-02
"Kelly, Robert F.",Senior,2001-07-17,,,PA-E,Third Circuit,2002-01-02
"Ludwig, Edmond V.",Senior,1997-05-20,,,PA-E,Third Circuit,2002-01-02
"Shapiro, Norma L.",Senior,1998-12-31,,,PA-E,Third Circuit,2002-01-02
"McClure, James F. Jr.",Senior,2001-04-07,,,PA-M,Third Circuit,2002-01-02
"Rambo, Sylvia H.",Senior,2001-04-18,,,PA-M,Third Circuit,2002-01-02
"Bloch, Alan N.",Senior,1997-04-12,,,PA-W,Third Circuit,2002-01-02
"Cohill, Maurice B. Jr.",Senior,1994-11-28,,,PA-W,Third Circuit,2002-01-02
"Lee, Donald J.",Senior,2000-04-06,,,PA-W,Third Circuit,2002-01-02
"Ziegler, Donald E.",Senior,2001-10-01,,,PA-W,Third Circuit,2002-01-02
"Ervin, Sam J. III",Deceased,1999-09-18,,,CCA,Fourth Circuit,2002-01-02
"Hamilton, Clyde H.",Senior,1999-11-30,"Shedd, Dennis W.",2001-09-04,CCA,Fourth Circuit,2002-01-02
"Murnaghan, Francis",Deceased,2000-08-31,,,CCA,Fourth Circuit,2002-01-02
"Phillips, J. Dickson Jr.",Senior,1994-07-31,"Boyle, Terrence W.",2001-09-04,CCA,Fourth Circuit,2002-01-02
"Britt, W. Earl",Senior,1997-12-07,,,NC-E,Fourth Circuit,2002-01-02
"Fox, James C.",Senior,2001-01-31,,,NC-E,Fourth Circuit,2002-01-02
PL 106-553,New Position,2000-12-21,,,VA-E,Fourth Circuit,2002-01-02
"Garwood, William L.",Senior,1997-01-23,"Owen, Priscilla Richman",2001-09-04,CCA,Fifth Circuit,2002-01-02
"Politz, Henry A.",Senior,1999-08-10,"Pickering, Charles W. Sr.",2001-09-04,CCA,Fifth Circuit,2002-01-02
"Clement, Edith Brown",Elevated,2001-11-13,,,LA-E,Fifth Circuit,2002-01-02
"McNamara, A.J.",Senior,2001-06-09,"Zainey, Jay C.",2001-10-10,LA-E,Fifth Circuit,2002-01-02
"Maloney, Robert B.",Senior,2000-08-31,,,TX-N,Fifth Circuit,2002-01-02
"Brown, Paul",Senior,2001-04-01,,,TX-E,Fifth Circuit,2002-01-02
"Cobb, Howell",Senior,2001-03-01,,,TX-E,Fifth Circuit,2002-01-02
PL 106-553,New Position,2000-12-21,"Crane, Randy",2001-09-21,TX-S,Fifth Circuit,2002-01-02
"Vela, Filemon",Senior,2000-05-01,,,TX-S,Fifth Circuit,2002-01-02
"Hudspeth, Harry",Senior,2001-06-30,,,TX-W,Fifth Circuit,2002-01-02
PL 106-553,New Position,2000-12-21,"Martinez, Philip R.",2001-10-09,TX-W,Fifth Circuit,2002-01-02
"Keith, Damon",Senior,1995-05-01,,,CCA,Sixth Circuit,2002-01-02
"Kennedy, Cornelia",Senior,1999-03-01,"Neilson, Susan Bieke",2001-11-08,CCA,Sixth Circuit,2002-01-02
"Merritt, Gilbert S.",Senior,2001-01-17,"Gibbons, Julia Smith",2001-10-09,CCA,Sixth Circuit,2002-01-02
"Nelson, David A.",Senior,1999-10-01,"Sutton, Jeffrey S.",2001-09-04,CCA,Sixth Circuit,2002-01-02
"Norris, Alan E.",Senior,2001-07-01,"Cook, Deborah L.",2001-09-04,CCA,Sixth Circuit,2002-01-02
"Ryan, James L.",Senior,2000-01-01,"Saad, Henry W.",2001-11-08,CCA,Sixth Circuit,2002-01-02
"Siler, Eugene E. Jr",Senior,2001-12-31,"Rogers, John M.",2001-12-19,CCA,Sixth Circuit,2002-01-02
"Suhrheinrich, Richard F.",Senior,2001-08-15,"McKeague, David W.",2001-11-08,CCA,Sixth Circuit,2002-01-02
"Bertelsman, William O.",Senior,2001-02-01,"Bunning, David L.",2001-09-04,KY-E,Sixth Circuit,2002-01-02
"Duggan, Patrick J.",Senior,2000-09-29,,,MI-E,Sixth Circuit,2002-01-02
"Gadola, Paul V.",Senior,2001-01-31,,,MI-E,Sixth Circuit,2002-01-02
"White, George W.",Retired,1999-02-26,,,OH-N,Sixth Circuit,2002-01-02
"Smith, George C.",Senior,2002-01-01,,,OH-S,Sixth Circuit,2002-01-02
"Weber, Herman J.",Senior,2002-01-01,,,OH-S,Sixth Circuit,2002-01-02
"Jordan, Robert Leon",Senior,2001-11-30,,,TN-E,Sixth Circuit,2002-01-02
"Turner, Jerome",Deceased,2000-02-12,,,TN-W,Sixth Circuit,2002-01-02
"Lindberg, George W.",Senior,2001-06-21,,,IL-N,Seventh Circuit,2002-01-02
PL 106-553,New Position,2000-12-21,,,WI-E,Seventh Circuit,2002-01-02
"Arnold, Richard S.",Senior,2001-04-01,"Smith, Lavenski R.",2001-09-04,CCA,Eighth Circuit,2002-01-02
"Fagg, George",Senior,1999-05-01,"Melloy, Michael J.",2001-09-04,CCA,Eighth Circuit,2002-01-02
"Wolle, Charles R.",Senior,2001-10-16,"Gritzner, James E.",2001-09-04,IA-S,Eighth Circuit,2002-01-02
"Gunn, George F. Jr.",Senior,1996-12-01,,,MO-E,Eighth Circuit,2002-01-02
"Bartlett, D. Brook",Deceased,2000-01-21,,,MO-W,Eighth Circuit,2002-01-02
"Conmy, Patrick",Senior,2000-01-05,,,ND,Eighth Circuit,2002-01-02
"Browning, James R",Senior,2000-09-01,"Kuhl, Carolyn B.",2001-09-04,CCA,Ninth Circuit,2002-01-02
"Hall, Cynthia Holcomb",Senior,1997-08-31,"Clifton, Richard R.",2001-09-04,CCA,Ninth Circuit,2002-01-02
"Wiggins, Charles E.",Senior,1996-12-31,,,CCA,Ninth Circuit,2002-01-02
"Holland, H. Russel",Senior,2001-09-18,"Beistline, Ralph B.",2001-11-07,AK,Ninth Circuit,2002-01-02
PL 106-113,New Position,1999-11-29,"Jorgenson, Cindy K.",2001-09-10,AZ,Ninth Circuit,2002-01-02
PL 106-553,New Position,2000-12-21,"Bury, David C.",2001-09-10,AZ,Ninth Circuit,2002-01-02
"Legge, Charles A.",Retired,2001-06-30,,,CA-N,Ninth Circuit,2002-01-02
"Karlton, Lawrence K.",Senior,2000-05-27,,,CA-E,Ninth Circuit,2002-01-02
"Davies, John G.",Retired,1998-07-18,,,CA-C,Ninth Circuit,2002-01-02
"Keller, William",Senior,1999-10-29,,,CA-C,Ninth Circuit,2002-01-02
"Letts, J. Spencer",Senior,2000-12-19,,,CA-C,Ninth Circuit,2002-01-02
"Moreno, Carlos R.",Resigned,2001-10-18,,,CA-C,Ninth Circuit,2002-01-02
"Paez, Richard A.",Elevated,2000-03-09,,,CA-C,Ninth Circuit,2002-01-02
"Wardlaw, Kim McLane",Elevated,1998-07-31,,,CA-C,Ninth Circuit,2002-01-02
"Kay, Alan C.",Senior,2000-01-01,,,HI,Ninth Circuit,2002-01-02
PL 106-553,New Position,2000-12-21,"Mahan, James C.",2001-09-10,NV,Ninth Circuit,2002-01-02
