Vacancy Created By,Reason,Vacancy Date,Nominee,Nomination,Circuit,CT,date
"Leval, Pierre N.",Senior,2002-08-16,,,CCA,Second Circuit,2002-12-01
"Platt, Thomas C.",Senior,2001-02-01,,,NY-E,Second Circuit,2002-12-01
"Raggi, Reena",Elevated,2002-09-20,,,NY-E,Second Circuit,2002-12-01
"McKenna, Lawrence",Senior,2002-05-24,,,NY-S,Second Circuit,2002-12-01
"Parker, Barrington D. Jr.",Elevated,2001-10-11,,,NY-S,Second Circuit,2002-12-01
"Greenberg, Morton I.",Senior,2000-06-30,,,CCA,Third Circuit,2002-12-01
"Mansmann, Carol Los",Deceased,2002-03-09,,,CCA,Third Circuit,2002-12-01
"Smith, D. Brooks",Elevated,2002-07-31,,,PA-W,Third Circuit,2002-12-01
"Standish, William L.",Senior,2002-03-01,,,PA-W,Third Circuit,2002-12-01
"Ervin, Sam J. III",Deceased,1999-09-18,,,CCA,Fourth Circuit,2002-12-01
"Murnaghan, Francis",Deceased,2000-08-31,,,CCA,Fourth Circuit,2002-12-01
"Phillips, J. Dickson Jr.",Senior,1994-07-31,,,CCA,Fourth Circuit,2002-12-01
"Nickerson, William M.",Senior,2002-06-11,,,MD,Fourth Circuit,2002-12-01
"Britt, W. Earl",Senior,1997-12-07,,,NC-E,Fourth Circuit,2002-12-01
"Fox, James C.",Senior,2001-01-31,,,NC-E,Fourth Circuit,2002-12-01
"Shedd, Dennis W.",Elevated,2002-11-19,,,SC,Fourth Circuit,2002-12-01
"Turk, James C.",Senior,2002-11-02,,,VA-W,Fourth Circuit,2002-12-01
"Garwood, William L.",Senior,1997-01-23,,,CCA,Fifth Circuit,2002-12-01
"Parker, Robert M.",Retired,2002-11-01,,,CCA,Fifth Circuit,2002-12-01
"Politz, Henry A.",Senior,1999-08-10,,,CCA,Fifth Circuit,2002-12-01
"Little, F.A. Jr",Senior,2002-05-30,,,LA-W,Fifth Circuit,2002-12-01
"Trimble, James T. Jr",Senior,2002-09-13,,,LA-W,Fifth Circuit,2002-12-01
"Walter, Donald E.",Senior,2001-11-30,,,LA-W,Fifth Circuit,2002-12-01
"Garcia, Hipolito F.",Senior,2002-01-15,,,TX-W,Fifth Circuit,2002-12-01
"Keith, Damon",Senior,1995-05-01,,,CCA,Sixth Circuit,2002-12-01
"Kennedy, Cornelia",Senior,1999-03-01,,,CCA,Sixth Circuit,2002-12-01
"Nelson, David A.",Senior,1999-10-01,,,CCA,Sixth Circuit,2002-12-01
"Norris, Alan E.",Senior,2001-07-01,,,CCA,Sixth Circuit,2002-12-01
"Ryan, James L.",Senior,2000-01-01,,,CCA,Sixth Circuit,2002-12-01
"Suhrheinrich, Richard F.",Senior,2001-08-15,,,CCA,Sixth Circuit,2002-12-01
"Duggan, Patrick J.",Senior,2000-09-29,,,MI-E,Sixth Circuit,2002-12-01
"Gadola, Paul V.",Senior,2001-01-31,,,MI-E,Sixth Circuit,2002-12-01
"White, George W.",Retired,1999-02-26,,,OH-N,Sixth Circuit,2002-12-01
"Smith, George C.",Senior,2002-01-01,,,OH-S,Sixth Circuit,2002-12-01
"Hull, Thomas Gray",Senior,2002-10-01,,,TN-E,Sixth Circuit,2002-12-01
"Jordan, Robert Leon",Senior,2001-11-30,,,TN-E,Sixth Circuit,2002-12-01
"Gibbons, Julia Smith",Elevated,2002-07-29,,,TN-W,Sixth Circuit,2002-12-01
"Aspen, Marvin E.",Senior,2002-07-01,,,IL-N,Seventh Circuit,2002-12-01
"Leinenweber, Harry D.",Senior,2002-06-03,,,IL-N,Seventh Circuit,2002-12-01
"Reasoner, Stephen M.",Senior,2002-09-19,,,AR-E,Eighth Circuit,2002-12-01
"Webb, Rodney S.",Senior,2001-12-31,,,ND,Eighth Circuit,2002-12-01
"Browning, James R",Senior,2000-09-01,,,CCA,Ninth Circuit,2002-12-01
"Fernandez, Ferdinand",Senior,2002-06-01,,,CCA,Ninth Circuit,2002-12-01
"Hug, Proctor Jr.",Senior,2002-01-01,,,CCA,Ninth Circuit,2002-12-01
"Wiggins, Charles E.",Senior,1996-12-31,,,CCA,Ninth Circuit,2002-12-01
"Letts, J. Spencer",Senior,2000-12-19,,,CA-C,Ninth Circuit,2002-12-01
"Moreno, Carlos R.",Resigned,2001-10-18,,,CA-C,Ninth Circuit,2002-12-01
"Paez, Richard A.",Elevated,2000-03-09,,,CA-C,Ninth Circuit,2002-12-01
"Kay, Alan C.",Senior,2000-01-01,,,HI,Ninth Circuit,2002-12-01
"Jones, Robert E.",Senior,2000-05-01,,,OR,Ninth Circuit,2002-12-01
"Porfilio, John C.",Senior,1999-10-15,,,CCA,Tenth Circuit,2002-12-01
"Cox, Emmett Ripley",Senior,2000-12-18,,,CCA,Eleventh Circuit,2002-12-01
"Buttram, H. Dean Jr",Resigned,2002-06-30,,,AL-N,Eleventh Circuit,2002-12-01
"Vollmer, Richard W., Jr",Senior,2000-12-31,,,AL-S,Eleventh Circuit,2002-12-01
"Highsmith, Shelby",Senior,2002-03-15,,,FL-S,Eleventh Circuit,2002-12-01
"Buckley, James L.",Senior,1996-08-31,,,CCA,District of Columbia Circuit,2002-12-01
"Silberman, Laurence H.",Senior,2000-11-01,,,CCA,District of Columbia Circuit,2002-12-01
"Wald, Patricia M.",Retired,1999-11-16,,,CCA,District of Columbia Circuit,2002-12-01
"Williams, Stephen F.",Senior,2001-09-30,,,CCA,District of Columbia Circuit,2002-12-01
"Goldberg, Richard",Senior,2001-04-02,,,USIT,International Trade,2002-12-01
