Vacancy Created By,Reason,Vacancy Date,Nominee,Nomination,Circuit,CT,date
"Lagueux, Ronald R.",Senior,2001-11-30,"Smith, William E.",2002-07-18,RI,First Circuit,2002-10-11
"Leval, Pierre N.",Senior,2002-08-16,,,CCA,Second Circuit,2002-10-11
"Platt, Thomas C.",Senior,2001-02-01,"Feuerstein, Sandra J.",2002-07-25,NY-E,Second Circuit,2002-10-11
"Raggi, Reena",Elevated,2002-09-20,,,NY-E,Second Circuit,2002-10-11
"McKenna, Lawrence",Senior,2002-05-24,,,NY-S,Second Circuit,2002-10-11
"Parker, Barrington D. Jr.",Elevated,2001-10-11,"Holwell, Richard J.",2002-08-01,NY-S,Second Circuit,2002-10-11
"Greenberg, Morton I.",Senior,2000-06-30,,,CCA,Third Circuit,2002-10-11
"Mansmann, Carol Los",Deceased,2002-03-09,,,CCA,Third Circuit,2002-10-11
"McKelvie, Roderick R.",Resigned,2002-06-28,"Jordan, Kent A.",2002-07-25,DE,Third Circuit,2002-10-11
"Irenas, Joseph E.",Disabled,2002-07-01,"Kugler, Robert B.",2002-08-01,NJ,Third Circuit,2002-10-11
"Lechner, Alfred J. Jr",Resigned,2001-10-01,"Linares, Jose L.",2002-08-01,NJ,Third Circuit,2002-10-11
"Lifland, John C.",Senior,2001-06-15,"Martini, William J.",2002-01-23,NJ,Third Circuit,2002-10-11
"Politan, Nicholas H.",Retired,2002-01-04,"Wolfson, Freda L.",2002-08-01,NJ,Third Circuit,2002-10-11
"Thompson, Anne E.",Senior,2001-06-01,"Chesler, Stanley R.",2002-01-23,NJ,Third Circuit,2002-10-11
"Smith, D. Brooks",Elevated,2002-07-31,,,PA-W,Third Circuit,2002-10-11
"Standish, William L.",Senior,2002-03-01,,,PA-W,Third Circuit,2002-10-11
"Ervin, Sam J. III",Deceased,1999-09-18,,,CCA,Fourth Circuit,2002-10-11
"Hamilton, Clyde H.",Senior,1999-11-30,"Shedd, Dennis W.",2001-09-04,CCA,Fourth Circuit,2002-10-11
"Murnaghan, Francis",Deceased,2000-08-31,,,CCA,Fourth Circuit,2002-10-11
"Phillips, J. Dickson Jr.",Senior,1994-07-31,"Boyle, Terrence W.",2001-09-04,CCA,Fourth Circuit,2002-10-11
"Nickerson, William M.",Senior,2002-06-11,"Quarles, William D. Jr",2002-09-12,MD,Fourth Circuit,2002-10-11
"Britt, W. Earl",Senior,1997-12-07,"Dever, James C. III",2002-05-22,NC-E,Fourth Circuit,2002-10-11
"Fox, James C.",Senior,2001-01-31,,,NC-E,Fourth Circuit,2002-10-11
"Garwood, William L.",Senior,1997-01-23,"Owen, Priscilla Richman",2001-09-04,CCA,Fifth Circuit,2002-10-11
"Politz, Henry A.",Senior,1999-08-10,"Pickering, Charles W. Sr.",2001-09-04,CCA,Fifth Circuit,2002-10-11
