Vacancy Created By,Reason,Vacancy Date,Nominee,Nomination,Circuit,CT,date
"Stahl, Norman H.",Senior,2001-04-16,"Howard, Jeffrey R.",2001-09-04,CCA,First Circuit,2001-12-07
"Lagueux, Ronald R.",Senior,2001-11-30,,,RI,First Circuit,2001-12-07
"Platt, Thomas C.",Senior,2001-02-01,,,NY-E,Second Circuit,2001-12-07
"Parker, Barrington D. Jr.",Elevated,2001-10-11,,,NY-S,Second Circuit,2001-12-07
"Greenberg, Morton I.",Senior,2000-06-30,,,CCA,Third Circuit,2001-12-07
"Lewis, Timothy",Resigned,1999-06-30,"Smith, D. Brooks",2001-09-10,CCA,Third Circuit,2001-12-07
"Lechner, Alfred J. Jr",Resigned,2001-10-01,,,NJ,Third Circuit,2001-12-07
"Lifland, John C.",Senior,2001-06-15,,,NJ,Third Circuit,2001-12-07
"Thompson, Anne E.",Senior,2001-06-01,,,NJ,Third Circuit,2001-12-07
"Cahn, Edward N.",Retired,1998-12-31,,,PA-E,Third Circuit,2001-12-07
"Kelly, Robert F.",Senior,2001-07-17,,,PA-E,Third Circuit,2001-12-07
"Ludwig, Edmond V.",Senior,1997-05-20,,,PA-E,Third Circuit,2001-12-07
"Shapiro, Norma L.",Senior,1998-12-31,,,PA-E,Third Circuit,2001-12-07
"McClure, James F. Jr.",Senior,2001-04-07,,,PA-M,Third Circuit,2001-12-07
"Rambo, Sylvia H.",Senior,2001-04-18,,,PA-M,Third Circuit,2001-12-07
"Bloch, Alan N.",Senior,1997-04-12,,,PA-W,Third Circuit,2001-12-07
"Cohill, Maurice B. Jr.",Senior,1994-11-28,,,PA-W,Third Circuit,2001-12-07
"Lee, Donald J.",Senior,2000-04-06,,,PA-W,Third Circuit,2001-12-07
"Ziegler, Donald E.",Senior,2001-10-01,,,PA-W,Third Circuit,2001-12-07
"Ervin, Sam J. III",Deceased,1999-09-18,,,CCA,Fourth Circuit,2001-12-07
"Hamilton, Clyde H.",Senior,1999-11-30,"Shedd, Dennis W.",2001-09-04,CCA,Fourth Circuit,2001-12-07
"Murnaghan, Francis",Deceased,2000-08-31,,,CCA,Fourth Circuit,2001-12-07
"Phillips, J. Dickson Jr.",Senior,1994-07-31,"Boyle, Terrence W.",2001-09-04,CCA,Fourth Circuit,2001-12-07
"Britt, W. Earl",Senior,1997-12-07,,,NC-E,Fourth Circuit,2001-12-07
"Fox, James C.",Senior,2001-01-31,,,NC-E,Fourth Circuit,2001-12-07
