Vacancy Created By,Reason,Vacancy Date,Nominee,Nomination Date,Nomination,Circuit,CT,date
"MacMahon, Lloyd",Retired,1982-05-31,"Keenan, John F.",7/21/1983,,NY-S,Second Circuit,1983-09-01
"Meanor, H. Curtis",Resigned,1983-02-07,,,,NJ,Third Circuit,1983-09-01
"Butzner, John D.",Retired,1982-11-01,,,,CCA,Fourth Circuit,1983-09-01
"Jones, Shirley",Resigned,1982-12-31,,,,MD,Fourth Circuit,1983-09-01
"Knapp, Dennis R.",Retired,1983-02-25,,,,WV-S,Fourth Circuit,1983-09-01
"Ainsworth, Robert",Deceased,1981-12-22,,,,CCA,Fifth Circuit,1983-09-01
"Gordon, Jack",Deceased,1982-03-04,,,,LA-E,Fifth Circuit,1983-09-01
"Keady, William",Retired,1983-04-26,,,,MS-N,Fifth Circuit,1983-09-01
"Boyle, Patricia",Resigned,1983-04-20,,,,MI-E,Sixth Circuit,1983-09-01
"Wilson, Frank",Deceased,1982-09-29,,,,TN-E,Sixth Circuit,1983-09-01
"Flaum, Joel M.",Elevated,1983-05-04,,,,IL-N,Seventh Circuit,1983-09-01
"Holder, Cale",Deceased,1983-08-23,,,,IN-S,Seventh Circuit,1983-09-01
"Gordon, Myron",Retired,1983-02-21,,,,WI-E,Seventh Circuit,1983-09-01
"Weigel, Stanley",Retired,1982-10-09,"Vukasin, Jr., John P.",1/31/1983,,CA-N,Ninth Circuit,1983-09-01
"Wilkins, Philip",Retired,1983-01-27,,,,CA-E,Ninth Circuit,1983-09-01
"Hauk, A. Andrew",Retired,1982-09-29,,,,CA-C,Ninth Circuit,1983-09-01
"Kelleher, Robert",Retired,1983-03-05,,,,CA-C,Ninth Circuit,1983-09-01
"Foley, Roger",Retired,1982-10-29,,,,NV,Ninth Circuit,1983-09-01
"Higby, Lynn",Resigned,1983-01-03,,,,FL-N,Eleventh Circuit,1983-09-01
"Krentzman, Ben",Retired,1982-11-15,,,,FL-M,Eleventh Circuit,1983-09-01
"Atkins, C. Clyde",Retired,1982-12-31,,,,FL-S,Eleventh Circuit,1983-09-01
"MacKinnon, George",Retired,1983-05-20,"Starr, Kenneth W.",7/13/1983,,CCA,District of Columbia Circuit,1983-09-01
"Smith, John Lewis",Retired,1983-01-31,,,,DC,District of Columbia Circuit,1983-09-01
"Kunzi, Robert",Deceased,1982-02-21,,,,CCA,Federal Circuit,1983-09-01
"Maletz, Herbert",Retired,1982-12-31,,,,USIT,International Trade,1983-09-01
