Court,Incumbent,Vacancy Reason,Vacancy Date,Nominee,Nomination Date
01 - ME,"Hornby,D. Brock",Senior,04/30/2010,"Torresen,Nancy",03/02/2011
01 - RI,"Torres,Ernest C.",Senior,12/01/2006,"McConnell Jr.,John J.",01/05/2011
02 - CCA,"Calabresi,Guido",Senior,07/21/2009,,
02 - CCA,"Parker Jr.,Barrington D.",Senior,10/10/2009,"Carney,Susan L.",01/05/2011
02 - NYE,"Ross,Allyne",Senior,04/05/2011,,
02 - NYE,"Dearie,Raymond J.",Senior,04/03/2011,,
02 - NYE,"Gershon,Nina",Senior,10/16/2008,"Kuntz II,William Francis",03/09/2011
02 - NYS,"Robinson,Stephen C.",Resigned,08/11/2010,,
02 - NYS,"Marrero,Victor",Senior,12/31/2010,,
02 - NYS,"Hellerstein,Alvin K.",Senior,01/31/2011,,
02 - NYS,"Kaplan,Lewis A.",Senior,02/01/2011,,
02 - NYS,"Rakoff,Jed S.",Senior,12/31/2010,,
02 - NYS,"Lynch,Gerard E.",Elevated,09/17/2009,"Engelmayer,Paul A.",02/02/2011
02 - NYS,"Stein,Sidney H.",Senior,09/01/2010,"Nathan,Alison J.",03/31/2011
02 - NYS,"Chin,Denny",Elevated,04/22/2010,"Oetken,J. Paul",01/26/2011
02 - NYW,"Larimer,David G.",Senior,03/03/2009,"Green,Michael Charles",01/26/2011
03 - DE,"Farnan Jr.,Joseph J.",Retired,07/31/2010,,
03 - NJ,"Greenaway Jr.,Joseph A.",Elevated,02/09/2010,"Cecchi,Claire C.",01/05/2011
03 - NJ,"Hayden,Katharine S.",Senior,05/30/2010,"Salas,Esther",01/05/2011
03 - PAE,"Surrick,R. Barclay",Senior,02/01/2011,,
03 - PAE,"Golden,Thomas M.",Deceased,07/31/2010,,
03 - PAE,"Brody,Anita B.",Senior,06/08/2009,,
03 - PAM,"Vanaskie,Thomas I.",Elevated,04/21/2010,,
03 - PAM,"Caputo,A. Richard",Senior,03/31/2009,,
03 - PAM,"Munley,James M.",Senior,01/30/2009,"Mariani,Robert David",01/05/2011
03 - PAW,"Hardiman,Thomas M.",Elevated,03/15/2007,"Bissoon,Cathy",01/05/2011
03 - PAW,"Ambrose,Donetta W.",Senior,11/05/2010,"Hornak,Mark Raymond",01/05/2011
03 - VI,"Finch,Raymond L.",Senior,08/15/2008,"Lewis,Wilma Antoinette",03/02/2011
04 - CCA,"Michael,M. Blane",Deceased,03/25/2011,,
04 - CCA,"Williams,Karen J.",Senior,07/08/2009,"Floyd,Henry F.",01/26/2011
04 - MD,"Messitte,Peter J.",Senior,09/01/2008,"Day,Charles Bernard",01/05/2011
04 - NCE,"Howard,Malcolm J.",Senior,12/31/2005,,
04 - SC,"Duffy,Patrick Michael",Senior,12/27/2009,"Cain,Timothy M.",02/16/2011
04 - VAE,"Friedman,Jerome B.",Senior,11/30/2010,"Wright Allen,Arenda L.",01/05/2011
04 - VAW,"Moon,Norman K.",Senior,07/01/2010,"Urbanski,Michael Francis",01/05/2011
04 - WVN,"Broadwater,W. Craig",Deceased,12/18/2006,,
05 - CCA,"Wiener Jr.,Jacques L.",Senior,09/30/2010,,
05 - LAE,"Porteous Jr.,G. Thomas",Impeached,12/08/2010,,
05 - LAE,"Duval Jr.,Stanwood R.",Senior,12/15/2008,"Brown,Nannette Jolivette",03/02/2011
05 - LAE,"Lemmon,Mary Ann Vial",Senior,01/01/2011,"Triche-Milazzo,Jane Margaret",03/16/2011
05 - TXE,"Heartfield,Thad",Senior,01/01/2010,,
05 - TXS,"Rainey,John D.",Senior,06/11/2010,,
05 - TXS,"Kent,Samuel B.",Resigned,06/30/2009,"Marmolejo,Marina Garcia",01/05/2011
05 - TXS,"Head Jr.,Hayden W.",Senior,11/12/2009,"Ramos,Nelva Gonzales",01/26/2011
05 - TXW,"Furgeson Jr.,W. Royal",Senior,11/30/2008,,
05 - TXW,"Briones,David",Senior,02/26/2009,,
06 - CCA,"Gilman,Ronald Lee",Senior,11/21/2010,"Donald,Bernice Bouie",01/05/2011
06 - MIE,"Tarnow,Arthur J.",Senior,05/25/2010,,
06 - MIE,"Friedman,Bernard A.",Senior,01/01/2009,,
06 - OHN,"Carr,James G.",Senior,06/01/2010,,
06 - TNM,"Echols,Robert L.",Senior,03/01/2007,"Sharp,Kevin Hunter",01/05/2011
07 - CCA,"Evans,Terence T.",Senior,01/07/2010,"Nourse,Victoria Frances",01/05/2011
07 - ILC,"McDade,Joe Billy",Senior,02/28/2010,"Darrow,Sara Lynn",01/05/2011
07 - ILN,"Andersen,Wayne R.",Retired,07/31/2010,,
07 - ILN,"Manning,Blanche M.",Senior,02/01/2010,,
07 - ILN,"Coar,David H.",Senior,08/12/2009,,
07 - WIW,"Shabaz,John C.",Senior,01/20/2009,"Butler Jr.,Louis B.",01/05/2011
