Vacancy Created By,Reason,Vacancy Date,Nominee,Nomination,Circuit,CT,date,Nomination Date
PL 98-353,New Position,1984-07-10,,,CCA,First Circuit,1985-06-01,
PL 98-353,New Position,1984-07-10,,,RI,First Circuit,1985-06-01,
"Torruella, Juan del Valle",Elevated,1984-10-31,,,PR,First Circuit,1985-06-01,
PL 98-353,New Position,1984-07-10,,,CCA,Second Circuit,1985-06-01,
PL 98-353,New Position,1984-07-10,,,CCA,Second Circuit,1985-06-01,
"VanGraafeiland, Ellsworth",Retired,1985-05-11,,,CCA,Second Circuit,1985-06-01,
PL 98-353,New Position,1984-07-10,,,CT,Second Circuit,1985-06-01,
PL 98-353,New Position,1984-07-10,,,NY-N,Second Circuit,1985-06-01,
PL 98-353,New Position,1984-07-10,,,NY-E,Second Circuit,1985-06-01,
PL 98-353,New Position,1984-07-10,,,NY-E,Second Circuit,1985-06-01,
"Lasker, Morris E.",Retired,1983-10-03,,,NY-S,Second Circuit,1985-06-01,
"Stewart, Jr., Charles E.",Retired,1985-01-02,,,NY-S,Second Circuit,1985-06-01,
"Werker, Henry F.",Deceased,1984-05-10,,,NY-S,Second Circuit,1985-06-01,
PL 98-353,New Position,1984-07-10,,,NY-W,Second Circuit,1985-06-01,
PL 98-353,New Position,1984-07-10,,,DE,Third Circuit,1985-06-01,
"Stapleton, Walter",Elevated,1985-05-08,,,DE,Third Circuit,1985-06-01,
PL 98-353,New Position,1984-07-10,,,NJ,Third Circuit,1985-06-01,
PL 98-353,New Position,1984-07-10,,,NJ,Third Circuit,1985-06-01,
"Broderick, Raymond J.",Retired,1984-07-01,,,PA-E,Third Circuit,1985-06-01,
"Muir, Malcolm",Retired,1984-08-31,,,PA-M,Third Circuit,1985-06-01,
"Mansmann, Carol",Elevated,1985-04-04,,,PA-W,Third Circuit,1985-06-01,
"McCune, Barron P.",Retired,1985-04-01,,,PA-W,Third Circuit,1985-06-01,
PL 98-353,New Position,1984-07-10,"Motz, J. Frederick",,MD,Fourth Circuit,1985-06-01,4/23/1985
PL 98-353,New Position,1984-07-10,,,NC-E,Fourth Circuit,1985-06-01,
"Jones, Woodrow W.",Retired,1985-02-01,,,NC-W,Fourth Circuit,1985-06-01,
PL 98-353,New Position,1984-07-10,"Hilton, Claude M.",,VA-E,Fourth Circuit,1985-06-01,5/15/1985
PL 98-353,New Position,1984-07-10,,,CCA,Fifth Circuit,1985-06-01,
