Vacancy Created By,Reason,Vacancy Date,Nominee,Nomination,Circuit,CT,date
"Nygaard, Richard L.",Senior,2005-07-09,"Hardiman, Thomas M.",2006-09-13,CCA,Third Circuit,2006-11-01
"Roth, Jane R.",Senior,2006-05-31,"Jordan, Kent A.",2006-06-28,CCA,Third Circuit,2006-11-01
"Van Antwerpen, Franklin S.",Senior,2006-10-23,,,CCA,Third Circuit,2006-11-01
"Murnaghan, Francis",Deceased,2000-08-31,,,CCA,Fourth Circuit,2006-11-01
"Phillips, Jr., J. Dickson",Senior,1994-07-31,,,CCA,Fourth Circuit,2006-11-01
"Osteen, William L.",Retired,,"Osteen, Jr., William Lind",2006-09-29,NC-M,Fourth Circuit,2006-11-01
"Pickering, Charles W.",Retired,2004-12-08,,,CCA,Fifth Circuit,2006-11-01
"Bramlette, David C.",Senior,2006-03-20,"Ozerden, Halil Suleyman",2006-09-05,MS-S,Fifth Circuit,2006-11-01
"Ryan, James L.",Senior,2000-01-01,"Kethledge, Raymond M.",2006-06-28,CCA,Sixth Circuit,2006-11-01
"McKeague, David W.",Elevated,2005-06-13,"Neff, Janet T.",2006-06-28,MI-W,Sixth Circuit,2006-11-01
"Quist, Gordon J.",Senior,2006-01-01,"Jonker, Robert James",2006-06-28,MI-W,Sixth Circuit,2006-11-01
"Trott, stephen S.",Senior,2004-12-31,,,CCA,Ninth Circuit,2006-11-01
"Lew, S.W., Ronald",Senior,2006-09-19,"Wu, George H.",2006-09-05,CA-C,Ninth Circuit,2006-11-01
"Manella, Nora M.",Resigned,2006-05-22,,,CA-C,Ninth Circuit,2006-11-01
"Marshall, Consuelo B.",Senior,2005-10-24,"Baker, Valerie L.",2006-05-04,CA-C,Ninth Circuit,2006-11-01
"Taylor, Gary L.",Senior,2004-12-08,"Wright II, Otis D.",2006-09-05,CA-C,Ninth Circuit,2006-11-01
"Coughenour, John C.",Senior,2006-07-27,,,WA-W,Ninth Circuit,2006-11-01
"Edenfield, B. Avant",Senior,2006-08-02,,,GA-S,Eleventh Circuit,2006-11-01
"Roberts, John G.",Elevated,2005-09-29,,,CCA,District of Columbia Circuit,2006-11-01
