Vacancy Created By,Reason,Vacancy Date,Nominee,Nomination,Circuit,CT,date,Nomination Date
"Caffrey, Andrew",Retired,1986-10-17,,,MA,First Circuit,1987-09-01,
"Selya, Bruce",Elevated,1986-10-08,"Torres, Ernest C.",,RI,First Circuit,1987-09-01,6/22/1987
"Kaufman, Irving",Retired,1987-06-30,,,CCA,Second Circuit,1987-09-01,
"Carter, Robert L.",Retired,1986-12-21,,,NY-S,Second Circuit,1987-09-01,
"Conner, William C.",Retired,1987-04-01,,,NY-S,Second Circuit,1987-09-01,
"Motley, Constance B.",Retired,1986-09-30,,,NY-S,Second Circuit,1987-09-01,
"Sofaer, Abraham D.",Resigned,1985-06-10,"Mukasey, Michael B.",,NY-S,Second Circuit,1987-09-01,7/28/1987
"Elfvin, John",Retired,1987-06-30,"Arcara, Richard J.",,NY-W,Second Circuit,1987-09-01,8/7/1987
PL 98-353,New Position,1984-07-10,"Larimer, David G.",,NY-W,Second Circuit,1987-09-01,5/5/1987
"Hunter, III, James",Retired,1986-06-30,"Cowen, Robert E.",,CCA,Third Circuit,1987-09-01,8/7/1987
"Stern, Herbert J.",Resigned,1987-01-04,"Politan, Nicholas H.",,NJ,Third Circuit,1987-09-01,8/7/1987
"Ditter, J. William",Retired,1986-10-19,,,PA-E,Third Circuit,1987-09-01,
"Luongo, Alfred L.",Deceased,1986-07-19,,,PA-E,Third Circuit,1987-09-01,
"Scirica, Anthony J.",Elevated,1987-08-06,,,PA-E,Third Circuit,1987-09-01,
"Mansmann, Carol",Elevated,1985-04-04,,,PA-W,Third Circuit,1987-09-01,
"McCune, Barron P.",Retired,1985-04-01,"Standish, William L.",,PA-W,Third Circuit,1987-09-01,7/1/1987
"Teitelbaum, Hubert I.",Retired,1985-07-02,,,PA-W,Third Circuit,1987-09-01,
"Christian, Almeric",Senior,1986-12-01,,,VI,Third Circuit,1987-09-01,
"Kaufman, Frank A.",Retired,1986-06-16,,,MD,Fourth Circuit,1987-09-01,
"Young, Joseph H.",Retired,1987-08-11,,,MD,Fourth Circuit,1987-09-01,
PL 98-353,New Position,1984-07-10,,,NC-E,Fourth Circuit,1987-09-01,
"Warriner, D. Dutch",Deceased,1986-03-17,,,VA-E,Fourth Circuit,1987-09-01,
PL 98-353,New Position,1984-07-10,"Smith, Jerry",,CCA,Fifth Circuit,1987-09-01,6/2/1987
"Tate, Jr., Albert",Deceased,1986-03-27,,,CCA,Fifth Circuit,1987-09-01,
"Woodward, Halbert O.",Retired,1986-12-31,"Cummings, Sam R.",,TX-N,Fifth Circuit,1987-09-01,7/31/1987
"Bue, Jr., Carl O.",Retired,1987-09-01,,,TX-S,Fifth Circuit,1987-09-01,
"Feikens, John",Retired,1986-03-01,"Gadola, Paul V.",,MI-E,Sixth Circuit,1987-09-01,4/23/1987
"Kinneary, Joseph P.",Retired,1987-01-01,"Smith, George C.",,OH-S,Sixth Circuit,1987-09-01,7/1/1987
"Taylor, Robert L.",Retired,1985-01-15,,,TN-E,Sixth Circuit,1987-09-01,
"McRae, Robert M.",Retired,1987-01-01,"Turner, Jerome",,TN-W,Sixth Circuit,1987-09-01,7/1/1987
"McMillen, Thomas R.",Retired,1984-12-31,"Conlon, Suzanne B.",,IL-N,Seventh Circuit,1987-09-01,4/2/1987
"Kanne, Michael S.",Elevated,1987-05-19,,,IN-N,Seventh Circuit,1987-09-01,
"Ross, Donald",Retired,1987-06-13,"Beam, Clarence A.",,CCA,Eighth Circuit,1987-09-01,7/1/1987
"Overton, W. Ray",Deceased,1987-07-14,,,AR-E,Eighth Circuit,1987-09-01,
"Roberts, Ross T.",Deceased,1987-04-16,,,MO-W,Eighth Circuit,1987-09-01,
"Benson, Paul",Retired,1985-12-31,"Webb, Rodney S.",,ND,Eighth Circuit,1987-09-01,5/5/1987
"Ferguson, Warren J.",Retired,1986-08-01,,,CCA,Ninth Circuit,1987-09-01,
"Sneed, Joseph",Retired,1987-07-21,"Trott, Stephen S.",,CCA,Ninth Circuit,1987-09-01,8/7/1987
"Williams, Spencer",Retired,1987-02-24,,,CA-N,Ninth Circuit,1987-09-01,
"King, Samuel P.",Retired,1984-11-30,,,HI,Ninth Circuit,1987-09-01,
"Voorhees, Donald",Retired,1986-12-01,"Dwyer, William L.",,WA-W,Ninth Circuit,1987-09-01,7/28/1987
"Barrett, James E.",Retired,1987-04-08,"Brorby, Wade",,CCA,Tenth Circuit,1987-09-01,8/7/1987
"Doyle, William E.",Retired,1984-12-28,,,CCA,Tenth Circuit,1987-09-01,
"Moore, John P.",Elevated,1985-05-14,,,CO,Tenth Circuit,1987-09-01,
PL 98-353,New Position,1984-07-10,,,CO,Tenth Circuit,1987-09-01,
"Bratton, Howard",Retired,1987-02-05,"Parker, James A.",,NM,Tenth Circuit,1987-09-01,7/10/1987
"Scalia, Antonin",Elevated,1986-09-26,"Sentelle, David Bryan",,CCA,District of Columbia Circuit,1987-09-01,2/2/1987
"Parker, Barrington",Retired,1985-12-19,"Lamberth, Royce C.",,DC,District of Columbia Circuit,1987-09-01,3/19/1987
"Baldwin, Philip",Disabled,1986-11-25,,,CCA,Federal Circuit,1987-09-01,
"Kashiwa, Shiro",Retired,1986-01-07,,,CCA,Federal Circuit,1987-09-01,
"Ford, Morgan",Retired,1985-12-31,"Musgrave, R. Kenton",,USIT,International Trade,1987-09-01,7/1/1987
