Vacancy Created By,Reason,Vacancy Date,Nominee,Nomination,Circuit,CT,date,Nomination Date
"Toledo, Jose",Deceased,1980-02-03,,,PR,First Circuit,1982-09-01,
"Neaher, Edward",Retired,1982-05-28,,,NY-E,Second Circuit,1982-09-01,
"Pratt, George C.",Elevated,1982-06-21,,,NY-E,Second Circuit,1982-09-01,
"MacMahon, Lloyd",Retired,1982-05-31,,,NY-S,Second Circuit,1982-09-01,
"Pierce, Lawrence W.",Elevated,1981-11-30,,,NY-S,Second Circuit,1982-09-01,
"Biunno, Vincent",Retired,1982-03-23,,,NJ,Third Circuit,1982-09-01,
"Becker, Edward",Elevated,1982-01-22,,,PA-E,Third Circuit,1982-09-01,
"Lord, Joseph",Retired,1982-07-01,,,PA-E,Third Circuit,1982-09-01,
"Troutman, E. Mac",Retired,1982-09-01,,,PA-E,Third Circuit,1982-09-01,
PL 95-486,New Position,1978-11-08,,,NC-E,Fourth Circuit,1982-09-01,
"Gordon, Eugene",Retired,1982-07-12,,,NC-M,Fourth Circuit,1982-09-01,
"Ainsworth, Robert",Deceased,1981-12-22,,,CCA,Fifth Circuit,1982-09-01,
"Gordon, Jack",Deceased,1982-03-04,,,LA-E,Fifth Circuit,1982-09-01,
"Higginbotham, Patrick E.",Elevated,1982-07-27,,,TX-N,Fifth Circuit,1982-09-01,
"Contie, Jr., Leroy J.",Elevated,1982-03-23,"Dowd, Jr., David D.",,OH-N,Sixth Circuit,1982-09-01,8/24/1982
"Krupansky, Robert B.",Elevated,1982-03-19,,,OH-N,Sixth Circuit,1982-09-01,
"Neese, C.G.",Retired,1982-08-31,,,TN-E,Sixth Circuit,1982-09-01,
"Wellford, Harry W.",Elevated,1982-08-20,,,TN-W,Sixth Circuit,1982-09-01,
"Sprecher, Robert",Deceased,1982-05-15,,,CCA,Seventh Circuit,1982-09-01,
"Parsons, James B.",Retired,1981-08-30,,,IL-N,Seventh Circuit,1982-09-01,
"Henley, J. Smith",Retired,1982-05-31,,,CCA,Eighth Circuit,1982-09-01,
"Stephenson, Roy",Retired,1982-04-01,,,CCA,Eighth Circuit,1982-09-01,
"Gray, William P.",Retired,1982-03-26,,,CA-C,Ninth Circuit,1982-09-01,
"Williams, David",Retired,1981-01-17,"Rafeedie, Edward",,CA-C,Ninth Circuit,1982-09-01,8/24/1982
"Mechem, Edward",Retired,1982-07-03,,,NM,Tenth Circuit,1982-09-01,
"Kunzi, Robert",Deceased,1982-02-21,,,CCA,Federal Circuit,1982-09-01,
"Richardson, Skovil",Deceased,1982-03-30,,,USIT,International Trade,1982-09-01,
