Vacancy Created By,Reason,Vacancy Date,Nominee,Nomination,Circuit,CT,date,Nomination Date
"Lasker, Morris E.",Retired,1983-10-03,,,NY-S,Second Circuit,1984-04-01,
"Pollack, Milton",Retired,1983-09-29,,,NY-S,Second Circuit,1984-04-01,
"Holden, James",Retired,1984-01-29,,,VT,Second Circuit,1984-04-01,
"Latchum, James L.",Retired,1983-12-23,,,DE,Third Circuit,1984-04-01,
"Butzner, John D.",Retired,1982-11-01,"Wilkinson, III, James H.",,CCA,Fourth Circuit,1984-04-01,1/30/1984
"Dupree, Jr., Franklin T.",Retired,1983-12-31,,,NC-E,Fourth Circuit,1984-04-01,
"Cassibry, Fred J.",Retired,1984-03-15,,,LA-E,Fifth Circuit,1984-04-01,
"Davis, W. Eugene",Elevated,1983-12-09,,,LA-W,Fifth Circuit,1984-04-01,
"Russell, Dan M.",Retired,1983-10-25,,,MS-S,Fifth Circuit,1984-04-01,
"Fisher, Joe J.",Retired,1984-01-30,,,TX-E,Fifth Circuit,1984-04-01,
"Harvey, James",Retired,1984-03-31,,,MI-E,Sixth Circuit,1984-04-01,
"Flaum, Joel M.",Elevated,1983-05-04,,,IL-N,Seventh Circuit,1984-04-01,
"Copple, William P.",Retired,1983-11-30,,,AZ,Ninth Circuit,1984-04-01,
"Richey, Mary Anne",Deceased,1983-11-25,,,AZ,Ninth Circuit,1984-04-01,
"Schnacke, Robert H.",Retired,1983-12-31,,,CA-N,Ninth Circuit,1984-04-01,
"Kelleher, Robert",Retired,1983-03-05,,,CA-C,Ninth Circuit,1984-04-01,
"Lydick, Lawrence T.",Retired,1984-03-01,,,CA-C,Ninth Circuit,1984-04-01,
"Turrentine, Howard",Retired,1984-01-22,,,CA-S,Ninth Circuit,1984-04-01,
"Foley, Roger",Retired,1982-10-29,,,NV,Ninth Circuit,1984-04-01,
"Green, June L.",Retired,1984-01-15,,,DC,District of Columbia Circuit,1984-04-01,
"Kunzi, Robert",Deceased,1982-02-21,,,CCA,Federal Circuit,1984-04-01,
"Landis, Frederick",Retired,1983-12-31,,,USIT,International Trade,1984-04-01,
"Newman, Bernard",Retired,1983-12-31,,,USIT,International Trade,1984-04-01,
