Vacancy Created By,Reason,Vacancy Date,Nominee,Nomination,Circuit,CT,date,Nomination Date
"Moore, John P.",Elevated,1985-05-14,,,CO,Tenth Circuit,1986-03-01,
PL 98-353,New Position,1984-07-10,,,CO,Tenth Circuit,1986-03-01,
"Baldock, Bobby Ray",Elevated,1986-01-24,,,NM,Tenth Circuit,1986-03-01,
"Henderson, Albert J.",Retired,1986-01-31,,,CCA,Eleventh Circuit,1986-03-01,
PL 98-353,New Position,1984-07-10,,,AL-S,Eleventh Circuit,1986-03-01,
"Reed, John A.",Resigned,1985-01-01,,,FL-M,Eleventh Circuit,1986-03-01,
"Eaton, Joe",Retired,1985-04-02,,,FL-S,Eleventh Circuit,1986-03-01,
"Wilkey, Malcolm",Retired,1984-12-06,"Williams, Stephen F.",,CCA,District of Columbia Circuit,1986-03-01,2/19/1986
"Parker, Barrington",Retired,1985-12-19,,,DC,District of Columbia Circuit,1986-03-01,
"Bennett, Marion T.",Retired,1986-03-01,,,CCA,Federal Circuit,1986-03-01,
"Kashiwa, Shiro",Retired,1986-01-07,,,CCA,Federal Circuit,1986-03-01,
"Boe, Nils A.",Retired,1984-04-30,"Tsoucalas, Nicholas",,USIT,International Trade,1986-03-01,9/11/1985
"Ford, Morgan",Retired,1985-12-31,,,USIT,International Trade,1986-03-01,
