Vacancy Created By,Reason,Vacancy Date,Nominee,Nomination,Circuit,CT,date,Nomination Date
PL 98-353,New Position,1984-07-10,,,CCA,First Circuit,1986-03-01,
"Garrity, W. Arthur",Retired,1985-12-01,,,MA,First Circuit,1986-03-01,
PL 98-353,New Position,1984-07-10,"Lagueux, Ronald R.",,RI,First Circuit,1986-03-01,1/21/1986
PL 98-353,New Position,1984-07-10,"Mahoney, J. Daniel",,CCA,Second Circuit,1986-03-01,2/7/1986
"Miner, Roger J.",Elevated,1985-07-22,"Cholakis, Con. G.",,NY-N,Second Circuit,1986-03-01,2/7/1986
PL 98-353,New Position,1984-07-10,"McAvoy, Thomas J.",,NY-N,Second Circuit,1986-03-01,1/29/1986
"Altimari, Frank X.",Elevated,1985-12-17,,,NY-E,Second Circuit,1986-03-01,
PL 98-353,New Position,1984-07-10,"Dearie, Raymond J.",,NY-E,Second Circuit,1986-03-01,2/3/1986
"Gagliardi, Lee P.",Retired,1985-07-17,,,NY-S,Second Circuit,1986-03-01,
"Sofaer, Abraham D.",Resigned,1985-06-10,,,NY-S,Second Circuit,1986-03-01,
"Stewart, Jr., Charles E.",Retired,1985-01-02,"Cederbaum, Miriam G.",,NY-S,Second Circuit,1986-03-01,2/3/1986
PL 98-353,New Position,1984-07-10,,,NY-W,Second Circuit,1986-03-01,
"Lacey, Frederick",Retired,1986-02-01,,,NJ,Third Circuit,1986-03-01,
"VanArtsdalen, Donald",Retired,1985-10-21,,,PA-E,Third Circuit,1986-03-01,
"Muir, Malcolm",Retired,1984-08-31,,,PA-M,Third Circuit,1986-03-01,
"Mansmann, Carol",Elevated,1985-04-04,,,PA-W,Third Circuit,1986-03-01,
"McCune, Barron P.",Retired,1985-04-01,,,PA-W,Third Circuit,1986-03-01,
"Teitelbaum, Hubert I.",Retired,1985-07-02,,,PA-W,Third Circuit,1986-03-01,
"Sneeden, Emory",Resigned,1986-03-01,,,CCA,Fourth Circuit,1986-03-01,
PL 98-353,New Position,1984-07-10,,,NC-E,Fourth Circuit,1986-03-01,
"MacKenzie, John",Retired,1985-11-30,,,VA-E,Fourth Circuit,1986-03-01,
PL 98-353,New Position,1984-07-10,,,CCA,Fifth Circuit,1986-03-01,
"Hill, Robert M.",Elevated,1984-07-20,"Fitzwater, Sidney A.",,TX-N,Fifth Circuit,1986-03-01,1/29/1986
"Cire, George E.",Deceased,1985-05-03,,,TX-S,Fifth Circuit,1986-03-01,
PL 98-353,New Position,1984-07-10,"Boggs, Danny J.",,CCA,Sixth Circuit,1986-03-01,1/29/1986
"Allen, Charles M.",Retired,1985-10-01,,,KY-W,Sixth Circuit,1986-03-01,
"Feikens, John",Retired,1986-03-01,,,MI-E,Sixth Circuit,1986-03-01,
"Guy, Jr., Ralph B.",Elevated,1985-10-16,"Zatkoff, Lawrence P.",,MI-E,Sixth Circuit,1986-03-01,1/21/1986
"Joiner, Charles W.",Retired,1984-08-15,"Hackett, Barbara K.",,MI-E,Sixth Circuit,1986-03-01,2/11/1986
PL 98-353,New Position,1984-07-10,,,MI-E,Sixth Circuit,1986-03-01,
"Walinski, Nicholas J.",Retired,1985-12-01,,,OH-N,Sixth Circuit,1986-03-01,
"Duncan, Robert M.",Resigned,1985-04-15,,,OH-S,Sixth Circuit,1986-03-01,
"Taylor, Robert L.",Retired,1985-01-15,,,TN-E,Sixth Circuit,1986-03-01,
"Eschbach, Jesse",Retired,1985-11-04,,,CCA,Seventh Circuit,1986-03-01,
"Pell, Wilbur F.",Retired,1984-07-31,"Manion, Daniel A.",,CCA,Seventh Circuit,1986-03-01,2/21/1986
"Leighton, George N.",Retired,1986-02-27,,,IL-N,Seventh Circuit,1986-03-01,
"McMillen, Thomas R.",Retired,1984-12-31,,,IL-N,Seventh Circuit,1986-03-01,
PL 98-353,New Position,1984-07-10,,,IL-S,Seventh Circuit,1986-03-01,
"Bright, Myron H.",Retired,1985-06-01,"Magill, Frank J.",,CCA,Eighth Circuit,1986-03-01,1/21/1986
"McManus, Edward J.",Retired,1985-02-09,"Hansen, David R.",,IA-N,Eighth Circuit,1986-03-01,2/3/1986
"Lord, Miles",Retired,1985-07-01,,,MN,Eighth Circuit,1986-03-01,
"Benson, Paul",Retired,1985-12-31,,,ND,Eighth Circuit,1986-03-01,
PL 98-353,New Position,1984-07-10,,,AK,Ninth Circuit,1986-03-01,
"Orrick, Jr., William H.",Retired,1985-10-31,,,CA-N,Ninth Circuit,1986-03-01,
"Hall, Cynthia Holcolm",Elevated,1984-10-04,,,CA-C,Ninth Circuit,1986-03-01,
"King, Samuel P.",Retired,1984-11-30,,,HI,Ninth Circuit,1986-03-01,
PL 98-353,New Position,1984-07-10,,,HI,Ninth Circuit,1986-03-01,
PL 98-353,New Position,1984-07-10,"Bryan, Robert J.",,WA-W,Ninth Circuit,1986-03-01,2/3/1986
"Doyle, William E.",Retired,1984-12-28,,,CCA,Tenth Circuit,1986-03-01,
