Vacancy Created By,Reason,Vacancy Date,Nominee,Nomination,Circuit,CT,date,Nomination Date
PL 95-486,New Position,1978-11-08,,,PR,First Circuit,1981-12-01,
"Toledo, Jose",Deceased,1980-02-03,,,PR,First Circuit,1981-12-01,
"Mansfield, Walter",Retired,1981-07-02,"Winter, Jr., Ralph K.",,CCA,Second Circuit,1981-12-01,11/18/1981
"Timbers, William",Retired,1981-07-10,,,CCA,Second Circuit,1981-12-01,
"Mishler, Jacob",Retired,1980-04-30,"Glasser, Isreal Leo",,NY-E,Second Circuit,1981-12-01,11/23/1981
"Pierce, Lawrence W.",Elevated,1981-11-30,,,NY-S,Second Circuit,1981-12-01,
"Burke, Harold P.",Retired,1981-06-15,,,NY-W,Second Circuit,1981-12-01,
"Rosenn, Max",Retired,1981-01-21,"Becker, Edward R.",,CCA,Third Circuit,1981-12-01,11/16/1981
"Herman, R. Dixon",Retired,1981-10-01,,,PA-M,Third Circuit,1981-12-01,
"Knox, William W.",Deceased,1981-08-30,,,PA-W,Third Circuit,1981-12-01,
"Snyder, Daniel J.",Deceased,1980-05-11,,,PA-W,Third Circuit,1981-12-01,
"Northrop, Edward S.",Retired,1981-06-12,,,MD,Fourth Circuit,1981-12-01,
PL 95-486,New Position,1978-11-08,,,NC-E,Fourth Circuit,1981-12-01,
"Kellam, Richard B.",Retired,1981-05-30,"Doumar, Robert G.",,VA-E,Fourth Circuit,1981-12-01,11/5/1981
PL 95-486,New Position,1978-11-08,"Kiser, Jackson L.",,VA-W,Fourth Circuit,1981-12-01,11/4/1981
"Coleman, James",Retired,1981-05-30,,,CCA,Fifth Circuit,1981-12-01,
"Boyle, Ed",Retired,1981-12-01,,,LA-E,Fifth Circuit,1981-12-01,
"Mitchell, Lansing",Retired,1981-11-03,,,LA-E,Fifth Circuit,1981-12-01,
"Celebrezze, Anthony J.",Retired,1980-10-01,,,CCA,Sixth Circuit,1981-12-01,
"Thomas, William",Retired,1981-02-15,,,OH-N,Sixth Circuit,1981-12-01,
"Young, Don",Retired,1980-07-01,"Krenzler, Alvin I.",,OH-N,Sixth Circuit,1981-12-01,11/17/1981
"Fairchild, Thomas",Retired,1981-08-31,,,CCA,Seventh Circuit,1981-12-01,
"Crowley, John",Resigned,1981-06-30,,,IL-N,Seventh Circuit,1981-12-01,
"Decker, Bernard",Retired,1981-04-02,,,IL-N,Seventh Circuit,1981-12-01,
"Parsons, James B.",Retired,1981-08-30,,,IL-N,Seventh Circuit,1981-12-01,
McNagny,Deceased,1981-03-28,,,IN-N,Seventh Circuit,1981-12-01,
"Doyle, James E.",Retired,1980-07-07,"Shabaz, John C.",,WI-W,Seventh Circuit,1981-12-01,11/4/1981
"Gibson, Floyd",Retired,1979-12-31,,,CCA,Eighth Circuit,1981-12-01,
"Renfrew, Charles",Resigned,1980-02-27,,,CA-N,Ninth Circuit,1981-12-01,
"Crocker, Myron",Retired,1981-01-01,,,CA-E,Ninth Circuit,1981-12-01,
"Hill, Irving",Retired,1980-10-15,,,CA-C,Ninth Circuit,1981-12-01,
"Williams, David",Retired,1981-01-17,,,CA-C,Ninth Circuit,1981-12-01,
"McNichols, Ray",Retired,1981-07-01,,,ID,Ninth Circuit,1981-12-01,
"Theis, Frank",Retired,1981-07-31,"Crowe, Sam A.",,KS,Tenth Circuit,1981-12-01,11/24/1981
"Arnow, Winston",Retired,1981-03-14,,,FL-N,Eleventh Circuit,1981-12-01,
"Young, George C.",Retired,1981-10-19,,,FL-M,Eleventh Circuit,1981-12-01,
"Edenfield, Newell",Retired,1981-09-01,"Forrester, J. Owen",,GA-N,Eleventh Circuit,1981-12-01,11/24/1981
"McGowan, Carl",Retired,1981-08-31,,,CCA,District of Columbia Circuit,1981-12-01,
"Gasch, Oliver",Retired,1981-11-30,,,DC,District of Columbia Circuit,1981-12-01,
