Vacancy Created By,Reason,Vacancy Date,Nominee,Nomination,Circuit,CT,date,Nomination Date
"Breyer, Stephen",Elevated,1994-07-29,,,CCA,First Circuit,1994-08-01,
"Acosta, Raymond L.",Senior,1994-06-01,,,PR,First Circuit,1994-08-01,
"Gierbolini, Gilberto",Senior,1993-12-27,"Dominguez, Daniel R.",,PR,First Circuit,1994-08-01,6/21/1994
"Pieras, Jaime Jr.",Senior,1993-08-01,"Casellas, Salvador E.",,PR,First Circuit,1994-08-01,6/21/1994
"Cardamone, Richard J.",Senior,1993-11-13,"Cabranes, Jose A.",,CCA,Second Circuit,1994-08-01,5/24/1994
"Oakes, James L.",Senior,1992-07-01,,,CCA,Second Circuit,1994-08-01,
"Burns, Ellen B.",Senior,1992-09-01,,,CT,Second Circuit,1994-08-01,
"Eginton, Warren W.",Senior,1992-08-01,,,CT,Second Circuit,1994-08-01,
PL 101-650,New Position,1990-12-01,"Squatrito, Dominic J.",,CT,Second Circuit,1994-08-01,7/28/1994
"Cholakis, Con. G.",Disabled,1992-10-23,,,NY-N,Second Circuit,1994-08-01,
"McCurn, Neal P.",Senior,1993-04-06,,,NY-N,Second Circuit,1994-08-01,
"Munson, Howard G.",Senior,1990-11-05,"Pooler, Rosemary S.",,NY-N,Second Circuit,1994-08-01,4/26/1994
"Glasser, I. Leo",Senior,1993-07-01,"Ross, Allyne R.",,NY-E,Second Circuit,1994-08-01,7/22/1994
"Nickerson, Eugene",Senior,1994-01-01,"Block, Frederic",,NY-E,Second Circuit,1994-08-01,7/22/1994
"Weinstein, Jack B.",Senior,1993-03-01,"Gleeson, John",,NY-E,Second Circuit,1994-08-01,7/22/1994
"Wexler, Leonard D.",Senior,1994-06-30,,,NY-E,Second Circuit,1994-08-01,
"Conboy, Kenneth",Resigned,1993-12-31,,,NY-S,Second Circuit,1994-08-01,
"Freeh, Louis J.",Resigned,1993-08-31,"Scheindlin, Shira A.",,NY-S,Second Circuit,1994-08-01,7/28/1994
"Goettel, Gerard L.",Senior,1993-08-05,"Kaplan, Lewis A.",,NY-S,Second Circuit,1994-08-01,5/5/1994
"Kram, Shirley Wohl",Senior,1993-05-23,"Koeltl, John G.",,NY-S,Second Circuit,1994-08-01,4/26/1994
"Leval, Pierre N.",Elevated,1993-10-18,,,NY-S,Second Circuit,1994-08-01,
"Lowe, Mary J.",Senior,1991-07-27,"Cote, Denise",,NY-S,Second Circuit,1994-08-01,4/26/1994
PL 101-650,New Position,1990-12-01,"Chin, Denny",,NY-S,Second Circuit,1994-08-01,3/24/1994
"Sand, Leonard B.",Senior,1993-07-01,"Parker, Barrington D. Jr. 4/26/1994",,NY-S,Second Circuit,1994-08-01,
"Sweet, Robert W.",Senior,1991-03-01,"Baer,Harold Jr.",,NY-S,Second Circuit,1994-08-01,4/26/1994
PL 101-650,New Position,1990-12-01,"Sarokin, H. Lee",,CCA,Third Circuit,1994-08-01,5/5/1994
"Ackerman, Harold A.",Senior,1994-02-15,,,NJ,Third Circuit,1994-08-01,
"Debevoise, Dickinson R.",Senior,1994-05-01,,,NJ,Third Circuit,1994-08-01,
"Caldwell, William W.",Senior,1994-05-31,,,PA-M,Third Circuit,1994-08-01,
"Conaboy, Richard P.",Senior,1992-09-01,,,PA-M,Third Circuit,1994-08-01,
"Diamond, Gustave",Senior,1994-02-01,,,PA-W,Third Circuit,1994-08-01,
"Mencer, Glenn E.",Senior,1994-04-18,,,PA-W,Third Circuit,1994-08-01,
"Phillips, J. Dickson Jr.",Senior,1994-07-31,,,CCA,Fourth Circuit,1994-08-01,
PL 101-650,New Position,1990-12-01,,,CCA,Fourth Circuit,1994-08-01,
"Hargrove, John R.",Senior,1994-02-21,,,MD,Fourth Circuit,1994-08-01,
"Ramsey, Norman P.",Senior,1991-11-01,"Williams, Alexander Jr.",,MD,Fourth Circuit,1994-08-01,8/6/1993
"Erwin, Richard C.",Senior,1992-09-22,,,NC-M,Fourth Circuit,1994-08-01,
"Potter, Robert D.",Senior,1994-05-01,,,NC-W,Fourth Circuit,1994-08-01,
"Clark, Charles",Retired,1992-01-15,"Dennis, James L.",,CCA,Fifth Circuit,1994-08-01,6/8/1994
"Arceneaux, George",Deceased,1993-04-06,"Duval, Stanwood R. Jr.",,LA-E,Fifth Circuit,1994-08-01,7/15/1994
"Beer, Peter",Senior,1994-04-12,,,LA-E,Fifth Circuit,1994-08-01,
"Collins, Robert D.",Resigned,1993-08-06,,,LA-E,Fifth Circuit,1994-08-01,
"Duplantier, Adrian G.",Senior,1994-03-06,,,LA-E,Fifth Circuit,1994-08-01,
"Heebe, Frederick J.R.",Senior,1992-08-25,,,LA-E,Fifth Circuit,1994-08-01,
"Mentz, Henry A. Jr.",Senior,1992-06-30,"Vance, Sarah A.",,LA-E,Fifth Circuit,1994-08-01,6/8/1994
PL 101-650,New Position,1990-12-01,,,TX-N,Fifth Circuit,1994-08-01,
"Hall, Sam Blakely Jr.",Deceased,1994-04-10,,,TX-E,Fifth Circuit,1994-08-01,
"Parker, Robert M.",Elevated,1994-06-15,,,TX-E,Fifth Circuit,1994-08-01,
"DeAnda, James",Retired,1992-10-01,,,TX-S,Fifth Circuit,1994-08-01,
PL 101-650,New Position,1990-12-01,,,TX-S,Fifth Circuit,1994-08-01,
"Bunton, Lucius D.",Senior,1992-12-01,,,TX-W,Fifth Circuit,1994-08-01,
