Vacancy Created By,Reason,Vacancy Date,Nominee,Nomination,Circuit,CT,date,Nomination Date
"Krupansky, Robert B.",Senior,1991-07-01,,,CCA,Sixth Circuit,1994-08-01,
"Johnstone, Edward H.",Senior,1993-10-22,,,KY-W,Sixth Circuit,1994-08-01,
"Gilmore, Horace W.",Senior,1991-05-01,"O'Meara, John Corbett",,MI-E,Sixth Circuit,1994-08-01,4/26/1994
"Newblatt, Stewart A.",Senior,1993-12-23,"Borman, Paul D.",,MI-E,Sixth Circuit,1994-08-01,3/24/1994
"Battisti, Frank J.",Senior,1994-04-01,,,OH-N,Sixth Circuit,1994-08-01,
"Krenzler, Alvin I.",Senior,1992-01-01,,,OH-N,Sixth Circuit,1994-08-01,
"Potter, John W.",Senior,1992-08-01,,,OH-N,Sixth Circuit,1994-08-01,
PL 101-650,New Position,1990-12-01,,,TN-E,Sixth Circuit,1994-08-01,
"Grady, John F.",Senior,1994-05-23,,,IL-N,Seventh Circuit,1994-08-01,
"Nordberg, John A.",Senior,1994-06-18,,,IL-N,Seventh Circuit,1994-08-01,
"Rovner, Ilana Diamond",Elevated,1992-08-12,,,IL-N,Seventh Circuit,1994-08-01,
"Shadur, Milton I.",Senior,1992-06-25,"Manning, Blanche M.",,IL-N,Seventh Circuit,1994-08-01,5/5/1994
"Beatty, William L.",Senior,1992-11-09,,,IL-S,Seventh Circuit,1994-08-01,
PL 101-650,New Position,1990-12-01,,,IL-S,Seventh Circuit,1994-08-01,
"Dillin, S. Hugh",Senior,1993-03-31,"Hamilton, David F.",,IN-S,Seventh Circuit,1994-08-01,6/8/1994
"Gibson, John R.",Senior,1994-01-01,"Murphy, Diana E.",,CCA,Eighth Circuit,1994-08-01,7/28/1994
"O'Brien, Donald E.",Senior,1992-12-30,"Bennett, Mark W.",,IA-N,Eighth Circuit,1994-08-01,6/21/1994
"Alsop, Donald D.",Senior,1992-08-28,,,MN,Eighth Circuit,1994-08-01,
"Cahill, Clyde S.",Senior,1992-04-09,"Perry, Catherine D.",,MO-E,Eighth Circuit,1994-08-01,7/15/1994
"Sachs, Howard F.",Senior,1992-10-31,,,MO-W,Eighth Circuit,1994-08-01,
"Wright, Scott O.",Senior,1991-10-05,,,MO-W,Eighth Circuit,1994-08-01,
"Alarcon, Arthur L.",Senior,1992-11-21,,,CCA,Ninth Circuit,1994-08-01,
"Norris, William A.",Senior,1994-07-07,,,CCA,Ninth Circuit,1994-08-01,
"Tang, Thomas",Senior,1993-10-12,"Hawkins, Michael A.",,CCA,Ninth Circuit,1994-08-01,7/13/1994
"Vukasin, John P., Jr.",Deceased,1993-09-20,,,CA-N,Ninth Circuit,1994-08-01,
PL 101-650,New Position,1990-12-01,"Paz, Samuel",,CA-C,Ninth Circuit,1994-08-01,3/24/1994
PL 101-650,New Position,1990-12-01,"Timlin, Robert J.",,CA-C,Ninth Circuit,1994-08-01,4/26/1994
"Gilliam, Earl B.",Senior,1993-04-02,"Jones, Napoleon A.",,CA-S,Ninth Circuit,1994-08-01,6/8/1994
PL 101-650,New Position,1990-12-01,,,CA-S,Ninth Circuit,1994-08-01,
PL 101-650,New Position,1990-12-01,,,HI,Ninth Circuit,1994-08-01,
"Ryan, Harold L.",Senior,1992-12-30,,,ID,Ninth Circuit,1994-08-01,
"McKay, Monroe G.",Senior,1993-12-19,,,CCA,Tenth Circuit,1994-08-01,
PL 101-650,New Position,1990-12-01,,,CCA,Tenth Circuit,1994-08-01,
"Finesilver, Sherman G.",Senior,1994-05-31,,,CO,Tenth Circuit,1994-08-01,
"Fay, Peter T.",Senior,1994-01-18,,,CCA,Eleventh Circuit,1994-08-01,
"Haltom, E. B.",Senior,1992-01-01,,,AL-N,Eleventh Circuit,1994-08-01,
"Kehoe, James W.",Senior,1992-10-16,"Klein, Theodore",,FL-S,Eleventh Circuit,1994-08-01,10/29/1993
"King, James L.",Senior,1992-12-20,,,FL-S,Eleventh Circuit,1994-08-01,
"Ward, Horace T.",Senior,1993-12-31,,,GA-N,Eleventh Circuit,1994-08-01,
"Alaimo, Anthony A.",Senior,1991-07-01,"Moore, William T.",,GA-S,Eleventh Circuit,1994-08-01,7/13/1994
"Ginsburg, Ruth Bader",Elevated,1993-08-03,"Tatel, David S.",,CCA,District of Columbia Circuit,1994-08-01,6/20/1994
"Revercomb, George H.",Deceased,1993-08-01,,,DC,District of Columbia Circuit,1994-08-01,
"Markey, Howard T.",Retired,1991-04-30,"Bryson, William C.",,CCA,Federal Circuit,1994-08-01,6/22/1994
"Re, Edward D.",Retired,1991-04-30,,,USIT,International Trade,1994-08-01,
"Watson, James L.",Senior,1991-02-28,,,USIT,International Trade,1994-08-01,
