Court,Incumbent,Vacancy Reason,Vacancy Date,Nominee,Nomination Date
01 - MA,"Lindsay,Reginald C.",Deceased,03/12/2009,"Casper,Denise Jefferson",04/28/2010
01 - ME,"Hornby,D. Brock",Senior,04/30/2010,,
01 - RI,"Torres,Ernest C.",Senior,12/01/2006,"McConnell Jr.,John J.",09/13/2010
02 - CCA,"Parker Jr.,Barrington D.",Senior,10/10/2009,"Carney,Susan L.",05/20/2010
02 - CCA,"Calabresi,Guido",Senior,07/21/2009,"Chatigny,Robert Neil",09/13/2010
02 - CCA,"Sotomayor,Sonia",Elevated,08/06/2009,"Lohier Jr.,Raymond Joseph",03/10/2010
02 - NYE,"Gershon,Nina",Senior,10/16/2008,,
02 - NYN,"Scullin Jr.,Frederick J.",Senior,03/13/2006,"D'Agostino,Mae A.",09/29/2010
02 - NYS,"Stein,Sidney H.",Senior,09/01/2010,,
02 - NYS,"Wood,Kimba M.",Senior,06/01/2009,,
02 - NYS,"Robinson,Stephen C.",Resigned,08/11/2010,,
02 - NYS,"Lynch,Gerard E.",Elevated,09/17/2009,,
02 - NYS,"Chin,Denny",Elevated,04/22/2010,,
02 - NYW,"Larimer,David G.",Senior,03/03/2009,,
03 - DE,"Farnan Jr.,Joseph J.",Retired,07/31/2010,,
03 - NJ,"Hayden,Katharine S.",Senior,05/30/2010,,
03 - NJ,"Greenaway Jr.,Joseph A.",Elevated,02/09/2010,,
03 - PAE,"Golden,Thomas M.",Deceased,07/31/2010,,
03 - PAE,"Brody,Anita B.",Senior,06/08/2009,,
03 - PAM,"Munley,James M.",Senior,01/30/2009,,
03 - PAM,"Caputo,A. Richard",Senior,03/31/2009,,
03 - PAM,"Vanaskie,Thomas I.",Elevated,04/21/2010,,
03 - PAW,"Hardiman,Thomas M.",Elevated,03/15/2007,,
04 - CCA,"Williams,Karen J.",Senior,07/08/2009,,
04 - CCA,"Wilkins,William W.",Senior,07/01/2007,"Diaz,Albert",11/04/2009
04 - MD,"Messitte,Peter J.",Senior,09/01/2008,"Day,Charles Bernard",07/21/2010
04 - MD,"Davis,Andre M.",Elevated,11/09/2009,"Hollander,Ellen Lipton",04/21/2010
04 - NCE,"Howard,Malcolm J.",Senior,12/31/2005,,
04 - NCM,"Tilley Jr.,N. Carlton",Senior,12/16/2008,"Eagles,Catherine C.",03/10/2010
04 - NCW,"Thornburg,Lacy H.",Retired,08/31/2009,"Cogburn Jr.,Max Oliver",05/27/2010
04 - SC,"Duffy,Patrick Michael",Senior,12/27/2009,,
04 - VAE,"Payne,Robert E.",Senior,05/07/2007,"Gibney Jr.,John A.",04/14/2010
04 - VAW,"Moon,Norman K.",Senior,07/01/2010,,
04 - WVN,"Broadwater,W. Craig",Deceased,12/18/2006,,
05 - CCA,"Wiener Jr.,Jacques L.",Senior,09/30/2010,,
05 - CCA,"Barksdale,Rhesa H.",Senior,08/08/2009,"Graves Jr.,James E.",06/10/2010
05 - LAE,"Duval Jr.,Stanwood R.",Senior,12/15/2008,,
05 - MSS,"Barbour Jr.,William Henry",Senior,02/04/2006,"Reeves,Carlton W.",04/28/2010
05 - TXE,"Heartfield,Thad",Senior,01/01/2010,,
05 - TXS,"Head Jr.,Hayden W.",Senior,11/12/2009,,
05 - TXS,"Rainey,John D.",Senior,06/11/2010,,
05 - TXS,"Kent,Samuel B.",Resigned,06/30/2009,"Marmolejo,Marina Garcia",07/28/2010
05 - TXS,"Kazen,George P.",Senior,05/31/2009,"Saldana,Diana",07/14/2010
05 - TXW,"Briones,David",Senior,02/26/2009,,
05 - TXW,"Furgeson Jr.,W. Royal",Senior,11/30/2008,,
06 - MIE,"Tarnow,Arthur J.",Senior,05/25/2010,,
06 - MIE,"Friedman,Bernard A.",Senior,01/01/2009,,
06 - OHN,"Carr,James G.",Senior,06/01/2010,,
06 - OHN,"Economus,Peter C.",Senior,07/03/2009,"Pearson,Benita Y.",12/03/2009
06 - TNM,"Echols,Robert L.",Senior,03/01/2007,,
07 - CCA,"Evans,Terence T.",Senior,01/07/2010,"Nourse,Victoria Frances",07/14/2010
07 - ILC,"McDade,Joe Billy",Senior,02/28/2010,,
07 - ILC,"Scott,Jeanne E.",Resigned,08/01/2010,"Myerscough,Sue E.",07/14/2010
07 - ILC,"Mihm,Michael M.",Senior,10/01/2009,"Shadid,James E.",05/27/2010
07 - ILN,"Manning,Blanche M.",Senior,02/01/2010,,
07 - ILN,"Coar,David H.",Senior,08/12/2009,,
07 - ILN,"Andersen,Wayne R.",Retired,07/31/2010,,
07 - ILN,"Bucklo,Elaine E.",Senior,10/31/2009,"Chang,Edmond E-Min",04/21/2010
07 - WIW,"Shabaz,John C.",Senior,01/20/2009,"Butler Jr.,Louis B.",09/13/2010
08 - ARE,"Moody,James Maxwell",Senior,09/30/2008,,
08 - ARW,"Barnes,Harry F.",Senior,10/31/2008,,
08 - ARW,"Dawson,Robert T.",Senior,08/14/2009,"Holmes III,Paul Kinloch",04/28/2010
08 - MN,"Rosenbaum,James M.",Senior,10/26/2009,"Nelson,Susan Richard",04/21/2010
08 - MOE,"Shaw,Charles A.",Senior,12/31/2009,,
09 - AZ,"Zapata,Frank R.",Senior,08/03/2010,,
09 - CAC,"Cooper,Florence-Marie",Deceased,01/15/2010,,
09 - CAC,"Larson,Stephen G.",Resigned,11/02/2009,,
09 - CAE,"Damrell Jr.,Frank C.",Senior,01/01/2009,"Mueller,Kimberly J.",03/10/2010
09 - CAN,"Jenkins,Martin J.",Resigned,04/03/2008,"Chen,Edward Milton",09/13/2010
09 - CAN,"Patel,Marilyn H.",Senior,10/30/2009,"Davila,Edward J.",05/20/2010
09 - CAS,"Whelan,Thomas J.",Senior,08/15/2010,,
09 - CAS,"Miller,Jeffrey T.",Senior,06/06/2010,,
09 - CAS,"Lorenz,M. James",Senior,10/25/2009,"Battaglia,Anthony J.",05/20/2010
09 - CCA,"Kleinfeld,Andrew J.",Senior,06/12/2010,,
09 - CCA,"Trott,Stephen S.",Senior,12/31/2004,,
09 - CCA,Position Open,New Position,01/21/2009,"Liu,Goodwin",09/13/2010
09 - CCA,"Hawkins,Michael Daly",Senior,02/12/2010,"Murguia,Mary Helen",03/25/2010
09 - HI,"Gillmor,Helen W.",Senior,06/30/2009,"Kobayashi,Leslie E.",04/21/2010
09 - MP,"Munson,Alex R.",Retired,02/28/2010,,
09 - OR,"King,Garr M.",Senior,01/30/2009,"Hernandez,Marco A.",07/14/2010
09 - OR,"Haggerty,Ancer L.",Senior,08/26/2009,"Simon,Michael H.",07/14/2010
09 - WAE,"Whaley,Robert H.",Senior,07/12/2009,,
10 - CCA,"Henry,Robert H.",Resigned,06/30/2010,,
10 - CCA,"McConnell,Michael W.",Resigned,08/31/2009,"Matheson Jr.,Scott M.",03/03/2010
10 - CO,"Figa,Phillip S.",Deceased,01/05/2008,"Jackson,Richard Brooke",09/30/2010
10 - CO,"Nottingham,Edward W.",Resigned,10/29/2008,"Martinez,William Joseph",02/24/2010
10 - OKN,"Kern,Terence C.",Senior,01/04/2010,,
10 - UT,"Kimball,Dale A.",Senior,11/30/2009,,
11 - CCA,"Birch Jr.,Stanley F.",Retired,08/29/2010,,
11 - FLM,"Adams Jr.,Henry Lee",Senior,04/08/2010,,
11 - FLS,"Huck,Paul C.",Senior,08/31/2010,,
11 - FLS,"Hurley,Daniel T.",Senior,02/24/2009,"Williams,Kathleen M.",07/21/2010
11 - GAN,"Martin,Beverly B.",Elevated,01/20/2010,,
11 - GAN,"Cooper,Clarence",Senior,02/09/2009,,
11 - GAN,"Evans,Orinda",Senior,12/31/2008,"Jones,Steve C.",07/14/2010
11 - GAN,"Camp,Jack T.",Senior,12/31/2008,"Totenberg,Amy",03/17/2010
DC - CCA,"Randolph,A. Raymond",Senior,11/01/2008,,
DC - CCA,"Roberts Jr.,John G.",Elevated,09/29/2005,"Halligan,Caitlin Joan",09/29/2010
DC - DC,"Hogan,Thomas F.",Senior,05/01/2008,"Boasberg,James Emanuel",06/17/2010
DC - DC,"Friedman,Paul L.",Senior,12/31/2009,"Howell,Beryl Alaine",07/14/2010
DC - DC,"Kessler,Gladys",Senior,01/22/2007,"Jackson,Amy Berman",06/17/2010
DC - DC,"Robertson,James",Senior,12/31/2008,"Wilkins,Robert Leon",05/20/2010
FD - CCA,"Michel,Paul R.",Retired,05/31/2010,"DuMont,Edward Carroll",04/14/2010
FD - CCA,"Schall,Alvin A.",Senior,10/05/2009,"O'Malley,Kathleen M.",03/10/2010
FD - CCA,"Mayer,Haldane Robert",Senior,06/30/2010,"Reyna,Jimmie V.",09/29/2010
Total Vacancies: 105,Total Vacancies: 105,Total Vacancies: 105,Total Vacancies: 105,Total Vacancies: 105,Total Vacancies: 105
Total Nominees Pending: 47,Total Nominees Pending: 47,Total Nominees Pending: 47,Total Nominees Pending: 47,Total Nominees Pending: 47,Total Nominees Pending: 47
