Vacancy Created By,Reason,Vacancy Date,Nominee,Nomination,Circuit,CT,date
"Lagueux, Ronald R.",Senior,2001-11-30,,,RI,First Circuit,2002-07-08
"Kearse, Amalya L.",Senior,2002-06-11,"Raggi, Reena",2002-05-01,CCA,Second Circuit,2002-07-08
"Irenas, Joseph E.",Disabled,2002-07-01,,,NY-E,Second Circuit,2002-07-08
"Platt, Thomas C.",Senior,2001-02-01,,,NY-E,Second Circuit,2002-07-08
"McKenna, Lawrence",Senior,2002-05-24,,,NY-S,Second Circuit,2002-07-08
"Parker, Barrington D. Jr.",Elevated,2001-10-11,,,NY-S,Second Circuit,2002-07-08
"Greenberg, Morton I.",Senior,2000-06-30,,,CCA,Third Circuit,2002-07-08
"Lewis, Timothy",Resigned,1999-06-30,"Smith, D. Brooks",2001-09-10,CCA,Third Circuit,2002-07-08
"Mansmann, Carol Los",Deceased,2002-03-09,,,CCA,Third Circuit,2002-07-08
"McKelvie, Roderick R.",Resigned,2002-06-28,,,DE,Third Circuit,2002-07-08
"Lechner, Alfred J. Jr",Resigned,2001-10-01,,,NJ,Third Circuit,2002-07-08
"Lifland, John C.",Senior,2001-06-15,"Martini, William J.",2002-01-23,NJ,Third Circuit,2002-07-08
"Politan, Nicholas H.",Retired,2002-01-04,,,NJ,Third Circuit,2002-07-08
"Thompson, Anne E.",Senior,2001-06-01,"Chesler, Stanley R.",2002-01-23,NJ,Third Circuit,2002-07-08
"Cahn, Edward N.",Retired,1998-12-31,"Savage, Timothy J.",2002-03-21,PA-E,Third Circuit,2002-07-08
"DuBois, Jan E.",Senior,2002-04-15,"Gardner, James Knoll",2002-04-22,PA-E,Third Circuit,2002-07-08
"McClure, James F. Jr.",Senior,2001-04-07,"Jones, John E. III",2002-02-28,PA-M,Third Circuit,2002-07-08
"Rambo, Sylvia H.",Senior,2001-04-18,"Conner, Christopher C.",2002-02-28,PA-M,Third Circuit,2002-07-08
"Bloch, Alan N.",Senior,1997-04-12,"Conti, Joy Flowers",2002-01-23,PA-W,Third Circuit,2002-07-08
"Cohill, Maurice B. Jr.",Senior,1994-11-28,"Schwab, Arthur J.",2002-01-23,PA-W,Third Circuit,2002-07-08
"Lee, Donald J.",Senior,2000-04-06,"Cercone, David S.",2002-03-21,PA-W,Third Circuit,2002-07-08
"Standish, William L.",Senior,2002-03-01,,,PA-W,Third Circuit,2002-07-08
"Ziegler, Donald E.",Senior,2001-10-01,"McVerry, Terrence F.",2002-01-23,PA-W,Third Circuit,2002-07-08
"Ervin, Sam J. III",Deceased,1999-09-18,,,CCA,Fourth Circuit,2002-07-08
"Hamilton, Clyde H.",Senior,1999-11-30,"Shedd, Dennis W.",2001-09-04,CCA,Fourth Circuit,2002-07-08
"Murnaghan, Francis",Deceased,2000-08-31,,,CCA,Fourth Circuit,2002-07-08
"Phillips, J. Dickson Jr.",Senior,1994-07-31,"Boyle, Terrence W.",2001-09-04,CCA,Fourth Circuit,2002-07-08
"Nickerson, William M.",Senior,2002-06-11,,,MD,Fourth Circuit,2002-07-08
"Britt, W. Earl",Senior,1997-12-07,"Dever, James C. III",2002-05-22,NC-E,Fourth Circuit,2002-07-08
"Fox, James C.",Senior,2001-01-31,,,NC-E,Fourth Circuit,2002-07-08
PL 106-553,New Position,2000-12-21,"Hudson, Henry E.",2002-01-23,VA-E,Fourth Circuit,2002-07-08
"Garwood, William L.",Senior,1997-01-23,"Owen, Priscilla Richman",2001-09-04,CCA,Fifth Circuit,2002-07-08
"Politz, Henry A.",Senior,1999-08-10,"Pickering, Charles W. Sr.",2001-09-04,CCA,Fifth Circuit,2002-07-08
"Little, F.A. Jr",Senior,2002-05-30,,,LA-W,Fifth Circuit,2002-07-08
"Walter, Donald E.",Senior,2001-11-30,,,LA-W,Fifth Circuit,2002-07-08
"Kendall, Joe",Resigned,2002-01-22,,,TX-N,Fifth Circuit,2002-07-08
"Maloney, Robert B.",Senior,2000-08-31,"Godbey, David C.",2002-01-23,TX-N,Fifth Circuit,2002-07-08
"Cobb, Howell",Senior,2001-03-01,"Clark, Ronald H.",2002-01-23,TX-E,Fifth Circuit,2002-07-08
"Garcia, Hipolito F.",Senior,2002-01-15,,,TX-W,Fifth Circuit,2002-07-08
"Hudspeth, Harry",Senior,2001-06-30,,,TX-W,Fifth Circuit,2002-07-08
"Keith, Damon",Senior,1995-05-01,"Griffin, Richard A.",2002-06-26,CCA,Sixth Circuit,2002-07-08
"Kennedy, Cornelia",Senior,1999-03-01,"Neilson, Susan Bieke",2001-11-08,CCA,Sixth Circuit,2002-07-08
"Merritt, Gilbert S.",Senior,2001-01-17,"Gibbons, Julia Smith",2001-10-09,CCA,Sixth Circuit,2002-07-08
"Nelson, David A.",Senior,1999-10-01,"Sutton, Jeffrey S.",2001-09-04,CCA,Sixth Circuit,2002-07-08
"Norris, Alan E.",Senior,2001-07-01,"Cook, Deborah L.",2001-09-04,CCA,Sixth Circuit,2002-07-08
"Ryan, James L.",Senior,2000-01-01,"Saad, Henry W.",2001-11-08,CCA,Sixth Circuit,2002-07-08
"Siler, Eugene E. Jr",Senior,2001-12-31,"Rogers, John M.",2001-12-19,CCA,Sixth Circuit,2002-07-08
"Suhrheinrich, Richard F.",Senior,2001-08-15,"McKeague, David W.",2001-11-08,CCA,Sixth Circuit,2002-07-08
"Duggan, Patrick J.",Senior,2000-09-29,,,MI-E,Sixth Circuit,2002-07-08
"Gadola, Paul V.",Senior,2001-01-31,,,MI-E,Sixth Circuit,2002-07-08
"White, George W.",Retired,1999-02-26,,,OH-N,Sixth Circuit,2002-07-08
"Smith, George C.",Senior,2002-01-01,,,OH-S,Sixth Circuit,2002-07-08
"Jarvis, James H.",Senior,2002-02-28,"Phillips, Thomas W.",2002-06-26,TN-E,Sixth Circuit,2002-07-08
"Jordan, Robert Leon",Senior,2001-11-30,,,TN-E,Sixth Circuit,2002-07-08
"Aspen, Marvin E.",Senior,2002-07-01,,,IL-N,Seventh Circuit,2002-07-08
"Leinenweber, Harry D.",Senior,2002-06-03,,,IL-N,Seventh Circuit,2002-07-08
"Lindberg, George W.",Senior,2001-06-21,"St. Eve, Amy J.",2002-03-21,IL-N,Seventh Circuit,2002-07-08
"Arnold, Richard S.",Senior,2001-04-01,"Smith, Lavenski R.",2001-09-04,CCA,Eighth Circuit,2002-07-08
"Melloy, Michael J.",Elevated,2002-02-11,"Reade, Linda R.",2002-06-26,IA-N,Eighth Circuit,2002-07-08
"Gunn, George F. Jr.",Senior,1996-12-01,"Autrey, Henry E.",2002-03-21,MO-E,Eighth Circuit,2002-07-08
"Bartlett, D. Brook",Deceased,2000-01-21,"Dorr, Richard E.",2002-03-21,MO-W,Eighth Circuit,2002-07-08
"Conmy, Patrick",Senior,2000-01-05,"Hovland, Daniel L.",2002-06-26,ND,Eighth Circuit,2002-07-08
"Webb, Rodney S.",Senior,2001-12-31,,,ND,Eighth Circuit,2002-07-08
"Browning, James R",Senior,2000-09-01,"Kuhl, Carolyn B.",2001-09-04,CCA,Ninth Circuit,2002-07-08
"Fernandez, Ferdinand",Senior,2002-06-01,,,CCA,Ninth Circuit,2002-07-08
"Hall, Cynthia Holcomb",Senior,1997-08-31,"Clifton, Richard R.",2001-09-04,CCA,Ninth Circuit,2002-07-08
"Hug, Proctor Jr.",Senior,2002-01-01,"Bybee, Jay S.",2002-05-22,CCA,Ninth Circuit,2002-07-08
"Wiggins, Charles E.",Senior,1996-12-31,,,CCA,Ninth Circuit,2002-07-08
