Vacancy Created By,Reason,Vacancy Date,Nominee,Nomination,Circuit,CT,date,Nomination Date
"Lasker, Morris E.",Retired,1983-10-03,,,NY-S,Second Circuit,1984-06-01,
"Pollack, Milton",Retired,1983-09-29,"Leisure, Peter K.",,NY-S,Second Circuit,1984-06-01,5/25/1984
"Werker, Henry F.",Deceased,1984-05-10,,,NY-S,Second Circuit,1984-06-01,
"Holden, James",Retired,1984-01-29,"Billings, Jr., Franklin S",,VT,Second Circuit,1984-06-01,5/25/1984
"Hannum, John B.",Retired,1984-05-29,,,PA-E,Third Circuit,1984-06-01,
"Butzner, John D.",Retired,1982-11-01,"Wilkinson, III, James H.",,CCA,Fourth Circuit,1984-06-01,1/30/1984
"Cassibry, Fred J.",Retired,1984-03-15,,,LA-E,Fifth Circuit,1984-06-01,
"Davis, W. Eugene",Elevated,1983-12-09,"Dehu, Jr., John M.",,LA-W,Fifth Circuit,1984-06-01,5/15/1984
"Russell, Dan M.",Retired,1983-10-25,"Lee, Tom S.",,MS-S,Fifth Circuit,1984-06-01,5/15/1984
"Fisher, Joe J.",Retired,1984-01-30,,,TX-E,Fifth Circuit,1984-06-01,
"Harvey, James",Retired,1984-03-31,,,MI-E,Sixth Circuit,1984-06-01,
"Flaum, Joel M.",Elevated,1983-05-04,,,IL-N,Seventh Circuit,1984-06-01,
"Copple, William P.",Retired,1983-11-30,"Rosenblatt, Paul G.",,AZ,Ninth Circuit,1984-06-01,5/15/1984
"Cordova, Valdemar",Disabled,1984-04-20,,,AZ,Ninth Circuit,1984-06-01,
"Schnacke, Robert H.",Retired,1983-12-31,,,CA-N,Ninth Circuit,1984-06-01,
"Lucas, Malcolm M.",Resigned,1984-04-06,"Rea, William J.",,CA-C,Ninth Circuit,1984-06-01,5/24/1984
"Lydick, Lawrence T.",Retired,1984-03-01,"Ideman, James M.",,CA-C,Ninth Circuit,1984-06-01,5/24/1984
"Turrentine, Howard",Retired,1984-01-22,"Brewster, Rudi M.",,CA-S,Ninth Circuit,1984-06-01,5/24/1984
"Green, June L.",Retired,1984-01-15,,,DC,District of Columbia Circuit,1984-06-01,
"Kunzi, Robert",Deceased,1982-02-21,"Bissell, Jean Galloway",,CCA,Federal Circuit,1984-06-01,5/24/1984
"Boe, Nils A.",Retired,1984-04-30,,,USIT,International Trade,1984-06-01,
"Landis, Frederick",Retired,1983-12-31,,,USIT,International Trade,1984-06-01,
"Newman, Bernard",Retired,1983-12-31,"DiCarlo, Dominick L.",,USIT,International Trade,1984-06-01,5/25/1984
