Vacancy Created By,Reason,Vacancy Date,Nominee,Nomination,Circuit,CT,date
"Van Antwerpen, Frank",Senior,2006-10-23,,,CCA,Third Circuit,2009-02-01
"Phillips, J. Dickson, Jr.",Senior,1994-07-31,,,CCA,Fourth Circuit,2009-02-01
"Widener, H. Emory, Jr.",Deceased,2007-09-19,,,CCA,Fourth Circuit,2009-02-01
"Wilkins, William W.",Senior,2007-07-01,,,CCA,Fourth Circuit,2009-02-01
"O'Meara, John Corbett",Senior,2007-01-01,,,MI-E,Sixth Circuit,2009-02-01
"Wilson, Jr., William R.",Senior,2008-09-30,,,AR-E,Eighth Circuit,2009-02-01
"Trott, Stephen S.",Senior,2004-12-31,,,CCA,Ninth Circuit,2009-02-01
"Schiavelli, George P.",Resigned,2008-10-05,,,CA-C,Ninth Circuit,2009-02-01
"Stotler, Alicemarie H.",Senior,2009-01-05,,,CA-C,Ninth Circuit,2009-02-01
"Nottingham, Edward W.",Resigned,2008-10-29,,,CO,Tenth Circuit,2009-02-01
"Evans, Orinda D.",Senior,2008-12-31,,,GA-N,Eleventh Circuit,2009-02-01
"Roberts, John G.",Elevated,2005-09-29,,,CCA,District of Columbia Circuit,2009-02-01
"Kessler, Gladys",Senior,2007-01-22,,,DC,District of Columbia Circuit,2009-02-01
"Robertson, James",Senior,2008-12-31,,,DC,District of Columbia Circuit,2009-02-01
