Vacancy Created By,Reason,Vacancy Date,Nominee,Nomination,Circuit,CT,date,Nomination Date
"Pollack, Milton",Retired,1983-09-29,,,NY-S,Second Circuit,1983-10-01,
"Meanor, H. Curtis",Resigned,1983-02-07,"Barry, Maryanne Trump",,NJ,Third Circuit,1983-10-01,9/14/1983
"Butzner, John D.",Retired,1982-11-01,,,CCA,Fourth Circuit,1983-10-01,
"Jones, Shirley",Resigned,1982-12-31,,,MD,Fourth Circuit,1983-10-01,
"Knapp, Dennis R.",Retired,1983-02-25,,,WV-S,Fourth Circuit,1983-10-01,
"Ainsworth, Robert",Deceased,1981-12-22,,,CCA,Fifth Circuit,1983-10-01,
"Gordon, Jack",Deceased,1982-03-04,"Feldman, Martin L.C.",,LA-E,Fifth Circuit,1983-10-01,9/9/1983
"Keady, William",Retired,1983-04-26,,,MS-N,Fifth Circuit,1983-10-01,
"Boyle, Patricia",Resigned,1983-04-20,,,MI-E,Sixth Circuit,1983-10-01,
"Wilson, Frank",Deceased,1982-09-29,,,TN-E,Sixth Circuit,1983-10-01,
"Flaum, Joel M.",Elevated,1983-05-04,,,IL-N,Seventh Circuit,1983-10-01,
"Holder, Cale",Deceased,1983-08-23,,,IN-S,Seventh Circuit,1983-10-01,
"Gordon, Myron",Retired,1983-02-21,"Curran, Thomas J.",,WI-E,Seventh Circuit,1983-10-01,9/20/1983
"Wright, Eugene",Retired,1983-09-15,,,CCA,Ninth Circuit,1983-10-01,
"Wilkins, Philip",Retired,1983-01-27,,,CA-E,Ninth Circuit,1983-10-01,
"Hauk, A. Andrew",Retired,1982-09-29,,,CA-C,Ninth Circuit,1983-10-01,
"Kelleher, Robert",Retired,1983-03-05,,,CA-C,Ninth Circuit,1983-10-01,
"Foley, Roger",Retired,1982-10-29,,,NV,Ninth Circuit,1983-10-01,
"Higby, Lynn",Resigned,1983-01-03,"Vinson, C. Roger",,FL-N,Eleventh Circuit,1983-10-01,9/12/1983
"Krentzman, Ben",Retired,1982-11-15,,,FL-M,Eleventh Circuit,1983-10-01,
"Atkins, C. Clyde",Retired,1982-12-31,,,FL-S,Eleventh Circuit,1983-10-01,
"Smith, John Lewis",Retired,1983-01-31,,,DC,District of Columbia Circuit,1983-10-01,
"Kunzi, Robert",Deceased,1982-02-21,,,CCA,Federal Circuit,1983-10-01,
"Nichol, Philip",Retired,1983-10-01,,,CCA,Federal Circuit,1983-10-01,
"Maletz, Herbert",Retired,1982-12-31,,,USIT,International Trade,1983-10-01,
