Vacancy Created By,Reason,Vacancy Date,Nominee,Nomination,Circuit,CT,date
"Lagueux, Ronald R.",Senior,2001-11-30,,,RI,First Circuit,2002-06-21
"Kearse, Amalya L.",Senior,2002-06-11,"Raggi, Reena",2002-05-01,CCA,Second Circuit,2002-06-21
"Platt, Thomas C.",Senior,2001-02-01,,,NY-E,Second Circuit,2002-06-21
"McKenna, Lawrence",Senior,2002-05-24,,,NY-S,Second Circuit,2002-06-21
"Parker, Barrington D. Jr.",Elevated,2001-10-11,,,NY-S,Second Circuit,2002-06-21
"Greenberg, Morton I.",Senior,2000-06-30,,,CCA,Third Circuit,2002-06-21
"Lewis, Timothy",Resigned,1999-06-30,"Smith, D. Brooks",2001-09-10,CCA,Third Circuit,2002-06-21
"Mansmann, Carol Los",Deceased,2002-03-09,,,CCA,Third Circuit,2002-06-21
"Lechner, Alfred J. Jr",Resigned,2001-10-01,,,NJ,Third Circuit,2002-06-21
"Lifland, John C.",Senior,2001-06-15,"Martini, William J.",2002-01-23,NJ,Third Circuit,2002-06-21
"Politan, Nicholas H.",Retired,2002-01-04,,,NJ,Third Circuit,2002-06-21
"Thompson, Anne E.",Senior,2001-06-01,"Chesler, Stanley R.",2002-01-23,NJ,Third Circuit,2002-06-21
"Cahn, Edward N.",Retired,1998-12-31,"Savage, Timothy J.",2002-03-21,PA-E,Third Circuit,2002-06-21
"DuBois, Jan E.",Senior,2002-04-15,"Gardner, James Knoll",2002-04-22,PA-E,Third Circuit,2002-06-21
"McClure, James F. Jr.",Senior,2001-04-07,"Jones, John E. III",2002-02-28,PA-M,Third Circuit,2002-06-21
"Rambo, Sylvia H.",Senior,2001-04-18,"Conner, Christopher C.",2002-02-28,PA-M,Third Circuit,2002-06-21
"Bloch, Alan N.",Senior,1997-04-12,"Conti, Joy Flowers",2002-01-23,PA-W,Third Circuit,2002-06-21
"Cohill, Maurice B. Jr.",Senior,1994-11-28,"Schwab, Arthur J.",2002-01-23,PA-W,Third Circuit,2002-06-21
"Lee, Donald J.",Senior,2000-04-06,"Cercone, David S.",2002-03-21,PA-W,Third Circuit,2002-06-21
"Standish, William L.",Senior,2002-03-01,,,PA-W,Third Circuit,2002-06-21
"Ziegler, Donald E.",Senior,2001-10-01,"McVerry, Terrence F.",2002-01-23,PA-W,Third Circuit,2002-06-21
"Ervin, Sam J. III",Deceased,1999-09-18,,,CCA,Fourth Circuit,2002-06-21
"Hamilton, Clyde H.",Senior,1999-11-30,"Shedd, Dennis W.",2001-09-04,CCA,Fourth Circuit,2002-06-21
"Murnaghan, Francis",Deceased,2000-08-31,,,CCA,Fourth Circuit,2002-06-21
"Phillips, J. Dickson Jr.",Senior,1994-07-31,"Boyle, Terrence W.",2001-09-04,CCA,Fourth Circuit,2002-06-21
"Nickerson, William M.",Senior,2002-06-11,,,MD,Fourth Circuit,2002-06-21
"Britt, W. Earl",Senior,1997-12-07,"Dever, James C. III",2002-05-22,NC-E,Fourth Circuit,2002-06-21
"Fox, James C.",Senior,2001-01-31,,,NC-E,Fourth Circuit,2002-06-21
PL 106-553,New Position,2000-12-21,"Hudson, Henry E.",2002-01-23,VA-E,Fourth Circuit,2002-06-21
"Garwood, William L.",Senior,1997-01-23,"Owen, Priscilla Richman",2001-09-04,CCA,Fifth Circuit,2002-06-21
"Politz, Henry A.",Senior,1999-08-10,"Pickering, Charles W. Sr.",2001-09-04,CCA,Fifth Circuit,2002-06-21
"Little, F.A. Jr",Senior,2002-05-30,,,LA-W,Fifth Circuit,2002-06-21
"Walter, Donald E.",Senior,2001-11-30,,,LA-W,Fifth Circuit,2002-06-21
"Kendall, Joe",Resigned,2002-01-22,,,TX-N,Fifth Circuit,2002-06-21
"Maloney, Robert B.",Senior,2000-08-31,"Godbey, David C.",2002-01-23,TX-N,Fifth Circuit,2002-06-21
"Cobb, Howell",Senior,2001-03-01,"Clark, Ronald H.",2002-01-23,TX-E,Fifth Circuit,2002-06-21
"Garcia, Hipolito F.",Senior,2002-01-15,,,TX-W,Fifth Circuit,2002-06-21
"Hudspeth, Harry",Senior,2001-06-30,,,TX-W,Fifth Circuit,2002-06-21
"Keith, Damon",Senior,1995-05-01,,,CCA,Sixth Circuit,2002-06-21
"Kennedy, Cornelia",Senior,1999-03-01,"Neilson, Susan Bieke",2001-11-08,CCA,Sixth Circuit,2002-06-21
"Merritt, Gilbert S.",Senior,2001-01-17,"Gibbons, Julia Smith",2001-10-09,CCA,Sixth Circuit,2002-06-21
"Nelson, David A.",Senior,1999-10-01,"Sutton, Jeffrey S.",2001-09-04,CCA,Sixth Circuit,2002-06-21
"Norris, Alan E.",Senior,2001-07-01,"Cook, Deborah L.",2001-09-04,CCA,Sixth Circuit,2002-06-21
"Ryan, James L.",Senior,2000-01-01,"Saad, Henry W.",2001-11-08,CCA,Sixth Circuit,2002-06-21
"Siler, Eugene E. Jr",Senior,2001-12-31,"Rogers, John M.",2001-12-19,CCA,Sixth Circuit,2002-06-21
"Suhrheinrich, Richard F.",Senior,2001-08-15,"McKeague, David W.",2001-11-08,CCA,Sixth Circuit,2002-06-21
"Duggan, Patrick J.",Senior,2000-09-29,,,MI-E,Sixth Circuit,2002-06-21
"Gadola, Paul V.",Senior,2001-01-31,,,MI-E,Sixth Circuit,2002-06-21
"White, George W.",Retired,1999-02-26,,,OH-N,Sixth Circuit,2002-06-21
"Smith, George C.",Senior,2002-01-01,,,OH-S,Sixth Circuit,2002-06-21
"Jarvis, James H.",Senior,2002-02-28,,,TN-E,Sixth Circuit,2002-06-21
"Jordan, Robert Leon",Senior,2001-11-30,,,TN-E,Sixth Circuit,2002-06-21
"Leinenweber, Harry D.",Senior,2002-06-03,,,IL-N,Seventh Circuit,2002-06-21
"Lindberg, George W.",Senior,2001-06-21,"St. Eve, Amy J.",2002-03-21,IL-N,Seventh Circuit,2002-06-21
"Arnold, Richard S.",Senior,2001-04-01,"Smith, Lavenski R.",2001-09-04,CCA,Eighth Circuit,2002-06-21
"Melloy, Michael J.",Elevated,2002-02-11,,,IA-N,Eighth Circuit,2002-06-21
"Gunn, George F. Jr.",Senior,1996-12-01,"Autrey, Henry E.",2002-03-21,MO-E,Eighth Circuit,2002-06-21
"Bartlett, D. Brook",Deceased,2000-01-21,"Dorr, Richard E.",2002-03-21,MO-W,Eighth Circuit,2002-06-21
"Conmy, Patrick",Senior,2000-01-05,,,ND,Eighth Circuit,2002-06-21
"Webb, Rodney S.",Senior,2001-12-31,,,ND,Eighth Circuit,2002-06-21
"Browning, James R",Senior,2000-09-01,"Kuhl, Carolyn B.",2001-09-04,CCA,Ninth Circuit,2002-06-21
"Fernandez, Ferdinand",Senior,2002-06-01,,,CCA,Ninth Circuit,2002-06-21
"Hall, Cynthia Holcomb",Senior,1997-08-31,"Clifton, Richard R.",2001-09-04,CCA,Ninth Circuit,2002-06-21
"Hug, Proctor Jr.",Senior,2002-01-01,"Bybee, Jay S.",2002-05-22,CCA,Ninth Circuit,2002-06-21
"Wiggins, Charles E.",Senior,1996-12-31,,,CCA,Ninth Circuit,2002-06-21
"Legge, Charles A.",Retired,2001-06-30,,,CA-N,Ninth Circuit,2002-06-21
"Karlton, Lawrence K.",Senior,2000-05-27,"England, Morrison C. Jr",2002-03-21,CA-E,Ninth Circuit,2002-06-21
"Keller, William",Senior,1999-10-29,,,CA-C,Ninth Circuit,2002-06-21
"Letts, J. Spencer",Senior,2000-12-19,,,CA-C,Ninth Circuit,2002-06-21
"Moreno, Carlos R.",Resigned,2001-10-18,,,CA-C,Ninth Circuit,2002-06-21
"Paez, Richard A.",Elevated,2000-03-09,,,CA-C,Ninth Circuit,2002-06-21
"Kay, Alan C.",Senior,2000-01-01,"Rohlfing, Frederick W.",2002-01-23,HI,Ninth Circuit,2002-06-21
"Jones, Robert E.",Senior,2000-05-01,,,OR,Ninth Circuit,2002-06-21
"Bryan, Robert J.",Senior,2000-11-01,"Leighton, Ronald B.",2002-01-23,WA-W,Ninth Circuit,2002-06-21
"Anderson, Stephen H.",Senior,2000-01-01,"McConnell, Michael W.",2001-09-04,CCA,Tenth Circuit,2002-06-21
"Porfilio, John C.",Senior,1999-10-15,"Tymkovich, Timothy M.",2001-09-04,CCA,Tenth Circuit,2002-06-21
"Cox, Emmett Ripley",Senior,2000-12-18,"Steele, William H.",2001-10-09,CCA,Eleventh Circuit,2002-06-21
"De Ment, Ira",Senior,2002-04-15,,,AL-M,Eleventh Circuit,2002-06-21
"Vollmer, Richard W., Jr",Senior,2000-12-31,,,AL-S,Eleventh Circuit,2002-06-21
PL 106-113,New Position,1999-11-29,"Corrigan, Timothy J.",2002-05-22,FL-M,Eleventh Circuit,2002-06-21
"Davis, Edward",Senior,2000-07-01,"Martinez, Jose E.",2002-01-23,FL-S,Eleventh Circuit,2002-06-21
"Highsmith, Shelby",Senior,2002-03-15,,,FL-S,Eleventh Circuit,2002-06-21
PL 106-553,New Position,2000-12-21,"Marra, Kenneth A.",2002-01-23,FL-S,Eleventh Circuit,2002-06-21
"Buckley, James L.",Senior,1996-08-31,"Roberts, John G. Jr.",2001-09-04,CCA,District of Columbia Circuit,2002-06-21
"Silberman, Laurence H.",Senior,2000-11-01,,,CCA,District of Columbia Circuit,2002-06-21
"Wald, Patricia M.",Retired,1999-11-16,"Estrada, Miguel A.",2001-09-04,CCA,District of Columbia Circuit,2002-06-21
"Williams, Stephen F.",Senior,2001-09-30,,,CCA,District of Columbia Circuit,2002-06-21
"Jackson, Thomas P",Senior,2002-01-31,,,DC,District of Columbia Circuit,2002-06-21
"Goldberg, Richard",Senior,2001-04-02,"Stanceu, Timothy C.",2001-12-19,USIT,International Trade,2002-06-21
