Vacancy Created By,Reason,Vacancy Date,Nominee,Nomination,Circuit,CT,date
"Mukasey, Michael B.",Retired,2006-09-08,"Sullivan, Richard",2007-02-15,NY-S,Second Circuit,2007-06-01
"Van Antwerpen, Franklin S.",Senior,2006-10-23,,,CCA,Third Circuit,2007-06-01
"Murnaghan, Francis",Deceased,2000-08-31,,,CCA,Fourth Circuit,2007-06-01
"Phillips, J. Dickson, Jr.",Senior,1994-07-31,,,CCA,Fourth Circuit,2007-06-01
"Osteen, William L.",Retired,,"Osteen, William L., Jr.",2007-01-09,NC-M,Fourth Circuit,2007-06-01
"Hilton, Claude M.",Senior,2005-12-31,"O'Grady, Liam",2007-01-09,VA-E,Fourth Circuit,2007-06-01
"Payne, Robert E.",Senior,2007-05-07,,,VA-E,Fourth Circuit,2007-06-01
"Pickering, Charles W.",Retired,2004-12-08,"Southwick, Leslie",2007-01-09,CCA,Fifth Circuit,2007-06-01
"Ryan, James L.",Senior,2000-01-01,"Kethledge, Raymond M.",2007-03-19,CCA,Sixth Circuit,2007-06-01
"O'Meara, John Corbett",Senior,2007-01-01,,,MI-E,Sixth Circuit,2007-06-01
"McKeague, David W.",Elevated,2005-06-13,"Neff, Janet T.",2007-03-19,MI-W,Sixth Circuit,2007-06-01
"Quist, Gordon J.",Senior,2006-01-01,"Jonker, Robert James",2007-03-19,MI-W,Sixth Circuit,2007-06-01
"Coughenour, John C.",Senior,2006-07-27,"Jones, Richard A.",2007-03-19,WA-W,Ninth Circuit,2007-06-01
"Roberts, John G.",Elevated,2005-09-29,"Keisler, Peter D.",2007-01-09,CCA,District of Columbia Circuit,2007-06-01
